Wavelength,Keck AO dichroic
1.223,0.90037476
1.224,0.902825788
1.225,0.905208772
1.226,0.907495055
1.227,0.909655977
1.228,0.911662881
1.229,0.913487108
1.23,0.9151
1.231,0.916629514
1.232,0.91819222
1.233,0.919742377
1.234,0.921234247
1.235,0.92262209
1.236,0.923860165
1.237,0.924902733
1.238,0.925704055
1.239,0.92621839
1.24,0.9264
1.241,0.926356465
1.242,0.926231432
1.243,0.926033257
1.244,0.925770296
1.245,0.925450906
1.246,0.925083443
1.247,0.924676265
1.248,0.924237728
1.249,0.923776187
1.25,0.9233
1.251,0.922713226
1.252,0.921935297
1.253,0.920997627
1.254,0.91993163
1.255,0.918768721
1.256,0.917540315
1.257,0.916277825
1.258,0.915012666
1.259,0.913776253
1.26,0.9126
1.261,0.911435933
1.262,0.91022444
1.263,0.908979478
1.264,0.907715004
1.265,0.906444976
1.266,0.905183349
1.267,0.903944081
1.268,0.902741129
1.269,0.901588449
1.27,0.9005
1.271,0.899406869
1.272,0.89825467
1.273,0.897079147
1.274,0.895916046
1.275,0.894801111
1.276,0.893770088
1.277,0.89285872
1.278,0.892102753
1.279,0.891537931
1.28,0.8912
1.281,0.890994217
1.282,0.890803109
1.283,0.89062832
1.284,0.890471497
1.285,0.890334286
1.286,0.890218331
1.287,0.89012528
1.288,0.890056777
1.289,0.890014469
1.29,0.89
1.291,0.890067362
1.292,0.890259509
1.293,0.890561534
1.294,0.890958528
1.295,0.891435583
1.296,0.891977791
1.297,0.892570245
1.298,0.893198037
1.299,0.893846258
1.3,0.8945
1.301,0.895253773
1.302,0.896190074
1.303,0.897275972
1.304,0.89847854
1.305,0.899764848
1.306,0.901101969
1.307,0.902456973
1.308,0.903796932
1.309,0.905088917
1.31,0.9063
1.311,0.907461621
1.312,0.908625425
1.313,0.909788793
1.314,0.910949103
1.315,0.912103736
1.316,0.913250069
1.317,0.914385483
1.318,0.915507356
1.319,0.916613069
1.32,0.9177
1.321,0.918798121
1.322,0.919927098
1.323,0.921068848
1.324,0.922205293
1.325,0.92331835
1.326,0.924389939
1.327,0.925401979
1.328,0.92633639
1.329,0.927175091
1.33,0.9279
1.331,0.928573409
1.332,0.929256943
1.333,0.929931521
1.334,0.930578061
1.335,0.931177483
1.336,0.931710707
1.337,0.932158652
1.338,0.932502236
1.339,0.932722379
1.34,0.9328
1.341,0.932761284
1.342,0.932650343
1.343,0.932474988
1.344,0.932243029
1.345,0.931962277
1.346,0.931640543
1.347,0.931285638
1.348,0.930905371
1.349,0.930507555
1.35,0.9301
1.351,0.929622274
1.352,0.929019354
1.353,0.928307165
1.354,0.927501633
1.355,0.926618681
1.356,0.925674235
1.357,0.924684219
1.358,0.923664558
1.359,0.922631177
1.36,0.9216
1.361,0.920533961
1.362,0.919391933
1.363,0.918183748
1.364,0.916919239
1.365,0.915608238
1.366,0.914260579
1.367,0.912886092
1.368,0.911494612
1.369,0.91009597
1.37,0.9087
1.371,0.907274368
1.372,0.905790148
1.373,0.904262278
1.374,0.9027057
1.375,0.901135354
1.376,0.899566179
1.377,0.898013116
1.378,0.896491105
1.379,0.895015086
1.38,0.8936
1.381,0.892227596
1.382,0.890871322
1.383,0.889533663
1.384,0.888217103
1.385,0.886924128
1.386,0.885657223
1.387,0.884418872
1.388,0.883211562
1.389,0.882037776
1.39,0.8809
1.391,0.879779732
1.392,0.87866269
1.393,0.877557686
1.394,0.876473533
1.395,0.875419043
1.396,0.87440303
1.397,0.873434307
1.398,0.872521685
1.399,0.871673979
1.4,0.8709
1.401,0.87015416
1.402,0.869397029
1.403,0.868646661
1.404,0.867921111
1.405,0.867238432
1.406,0.866616679
1.407,0.866073905
1.408,0.865628165
1.409,0.865297512
1.41,0.8651
1.411,0.864979212
1.412,0.864867298
1.413,0.864765163
1.414,0.864673711
1.415,0.864593846
1.416,0.864526474
1.417,0.864472498
1.418,0.864432825
1.419,0.864408357
1.42,0.8644
1.421,0.86442087
1.422,0.86448087
1.423,0.864576087
1.424,0.864702609
1.425,0.864856522
1.426,0.865033913
1.427,0.86523087
1.428,0.865443478
1.429,0.865667826
1.43,0.8659
1.431,0.866183938
1.432,0.866557904
1.433,0.867009476
1.434,0.867526232
1.435,0.868095751
1.436,0.868705609
1.437,0.869343386
1.438,0.869996658
1.439,0.870653003
1.44,0.8713
1.441,0.871954445
1.442,0.87264049
1.443,0.873356749
1.444,0.874101834
1.445,0.874874358
1.446,0.875672933
1.447,0.876496172
1.448,0.877342688
1.449,0.878211093
1.45,0.8791
1.451,0.880030252
1.452,0.881016761
1.453,0.882049243
1.454,0.883117413
1.455,0.884210989
1.456,0.885319685
1.457,0.886433218
1.458,0.887541305
1.459,0.88863366
1.46,0.8897
1.461,0.890748475
1.462,0.891794286
1.463,0.892837725
1.464,0.893879086
1.465,0.894918661
1.466,0.895956743
1.467,0.896993626
1.468,0.8980296
1.469,0.899064961
1.47,0.9001
1.471,0.9011354
1.472,0.90217124
1.473,0.903206904
1.474,0.904241778
1.475,0.905275247
1.476,0.906306696
1.477,0.907335511
1.478,0.908361076
1.479,0.909382777
1.48,0.9104
1.481,0.911418227
1.482,0.912441162
1.483,0.913465521
1.484,0.914488019
1.485,0.915505371
1.486,0.916514294
1.487,0.917511503
1.488,0.918493713
1.489,0.91945764
1.49,0.9204
1.491,0.921323261
1.492,0.922232601
1.493,0.923128804
1.494,0.924012649
1.495,0.92488492
1.496,0.925746397
1.497,0.926597861
1.498,0.927440096
1.499,0.928273881
1.5,0.9291
1.501,0.929920312
1.502,0.930735258
