Wavelength,Protected Au
1.244,0.9776
1.245,0.9776
1.246,0.9776
1.247,0.9776
1.248,0.9776
1.249,0.9776
1.25,0.9776
1.251,0.9776028
1.252,0.9776104
1.253,0.9776216
1.254,0.9776352
1.255,0.97765
1.256,0.9776648
1.257,0.9776784
1.258,0.9776896
1.259,0.9776972
1.26,0.9777
1.261,0.9777
1.262,0.9777
1.263,0.9777
1.264,0.9777
1.265,0.9777
1.266,0.9777
1.267,0.9777
1.268,0.9777
1.269,0.9777
1.27,0.9777
1.271,0.9777028
1.272,0.9777104
1.273,0.9777216
1.274,0.9777352
1.275,0.97775
1.276,0.9777648
1.277,0.9777784
1.278,0.9777896
1.279,0.9777972
1.28,0.9778
1.281,0.9778
1.282,0.9778
1.283,0.9778
1.284,0.9778
1.285,0.9778
1.286,0.9778
1.287,0.9778
1.288,0.9778
1.289,0.9778
1.29,0.9778
1.291,0.9778028
1.292,0.9778104
1.293,0.9778216
1.294,0.9778352
1.295,0.97785
1.296,0.9778648
1.297,0.9778784
1.298,0.9778896
1.299,0.9778972
1.3,0.9779
1.301,0.9779
1.302,0.9779
1.303,0.9779
1.304,0.9779
1.305,0.9779
1.306,0.9779
1.307,0.9779
1.308,0.9779
1.309,0.9779
1.31,0.9779
1.311,0.9779
1.312,0.9779
1.313,0.9779
1.314,0.9779
1.315,0.9779
1.316,0.9779
1.317,0.9779
1.318,0.9779
1.319,0.9779
1.32,0.9779
1.321,0.9779019
1.322,0.9779072
1.323,0.9779153
1.324,0.9779256
1.325,0.9779375
1.326,0.9779504
1.327,0.9779637
1.328,0.9779768
1.329,0.9779891
1.33,0.978
1.331,0.97801
1.332,0.97802
1.333,0.97803
1.334,0.97804
1.335,0.97805
1.336,0.97806
1.337,0.97807
1.338,0.97808
1.339,0.97809
1.34,0.9781
1.341,0.97811
1.342,0.97812
1.343,0.97813
1.344,0.97814
1.345,0.97815
1.346,0.97816
1.347,0.97817
1.348,0.97818
1.349,0.97819
1.35,0.9782
1.351,0.9782109
1.352,0.9782232
1.353,0.9782363
1.354,0.9782496
1.355,0.9782625
1.356,0.9782744
1.357,0.9782847
1.358,0.9782928
1.359,0.9782981
1.36,0.9783
1.361,0.9783
1.362,0.9783
1.363,0.9783
1.364,0.9783
1.365,0.9783
1.366,0.9783
1.367,0.9783
1.368,0.9783
1.369,0.9783
1.37,0.9783
1.371,0.9783028
1.372,0.9783104
1.373,0.9783216
1.374,0.9783352
1.375,0.97835
1.376,0.9783648
1.377,0.9783784
1.378,0.9783896
1.379,0.9783972
1.38,0.9784
1.381,0.9784
1.382,0.9784
1.383,0.9784
1.384,0.9784
1.385,0.9784
1.386,0.9784
1.387,0.9784
1.388,0.9784
1.389,0.9784
1.39,0.9784
1.391,0.9784028
1.392,0.9784104
1.393,0.9784216
1.394,0.9784352
1.395,0.97845
1.396,0.9784648
1.397,0.9784784
1.398,0.9784896
1.399,0.9784972
1.4,0.9785
1.401,0.9785
1.402,0.9785
1.403,0.9785
1.404,0.9785
1.405,0.9785
1.406,0.9785
1.407,0.9785
1.408,0.9785
1.409,0.9785
1.41,0.9785
1.411,0.9785028
1.412,0.9785104
1.413,0.9785216
1.414,0.9785352
1.415,0.97855
1.416,0.9785648
1.417,0.9785784
1.418,0.9785896
1.419,0.9785972
1.42,0.9786
1.421,0.9786
1.422,0.9786
1.423,0.9786
1.424,0.9786
1.425,0.9786
1.426,0.9786
1.427,0.9786
1.428,0.9786
1.429,0.9786
1.43,0.9786
1.431,0.9786028
1.432,0.9786104
1.433,0.9786216
1.434,0.9786352
1.435,0.97865
1.436,0.9786648
1.437,0.9786784
1.438,0.9786896
1.439,0.9786972
1.44,0.9787
1.441,0.9787
1.442,0.9787
1.443,0.9787
1.444,0.9787
1.445,0.9787
1.446,0.9787
1.447,0.9787
1.448,0.9787
1.449,0.9787
1.45,0.9787
1.451,0.9787019
1.452,0.9787072
1.453,0.9787153
1.454,0.9787256
1.455,0.9787375
1.456,0.9787504
1.457,0.9787637
1.458,0.9787768
1.459,0.9787891
1.46,0.9788
1.461,0.97881
1.462,0.97882
1.463,0.97883
1.464,0.97884
1.465,0.97885
1.466,0.97886
1.467,0.97887
1.468,0.97888
1.469,0.97889
1.47,0.9789
1.471,0.9789109
1.472,0.9789232
1.473,0.9789363
1.474,0.9789496
1.475,0.9789625
1.476,0.9789744
1.477,0.9789847
1.478,0.9789928
1.479,0.9789981
1.48,0.979
1.481,0.979
1.482,0.979
1.483,0.979
1.484,0.979
1.485,0.979
1.486,0.979
1.487,0.979
1.488,0.979
1.489,0.979
1.49,0.979
1.491,0.9790019
1.492,0.9790072
1.493,0.9790153
1.494,0.9790256
1.495,0.9790375
1.496,0.9790504
1.497,0.9790637
1.498,0.9790768
1.499,0.9790891
1.5,0.9791
1.501,0.97911
1.502,0.97912
1.503,0.97913
1.504,0.97914
1.505,0.97915
1.506,0.97916
1.507,0.97917
1.508,0.97918
1.509,0.97919
1.51,0.9792
1.511,0.97921
1.512,0.97922
1.513,0.97923
1.514,0.97924
1.515,0.97925
1.516,0.97926
1.517,0.97927
1.518,0.97928
1.519,0.97929
1.52,0.9793
1.521,0.9793109
1.522,0.9793232
1.523,0.9793363
1.524,0.9793496
1.525,0.9793625
1.526,0.9793744
1.527,0.9793847
1.528,0.9793928
1.529,0.9793981
1.53,0.9794
1.531,0.9794
1.532,0.9794
1.533,0.9794
1.534,0.9794
1.535,0.9794
1.536,0.9794
1.537,0.9794
1.538,0.9794
1.539,0.9794
1.54,0.9794
1.541,0.9794028
1.542,0.9794104
1.543,0.9794216
1.544,0.9794352
1.545,0.97945
1.546,0.9794648
1.547,0.9794784
1.548,0.9794896
1.549,0.9794972
1.55,0.9795
1.551,0.9795
1.552,0.9795
1.553,0.9795
1.554,0.9795
1.555,0.9795
1.556,0.9795
1.557,0.9795
1.558,0.9795
1.559,0.9795
1.56,0.9795
1.561,0.9795028
1.562,0.9795104
1.563,0.9795216
1.564,0.9795352
1.565,0.97955
1.566,0.9795648
1.567,0.9795784
1.568,0.9795896
1.569,0.9795972
1.57,0.9796
1.571,0.9796
1.572,0.9796
1.573,0.9796
1.574,0.9796
1.575,0.9796
1.576,0.9796
1.577,0.9796
1.578,0.9796
1.579,0.9796
1.58,0.9796
1.581,0.9796
1.582,0.9796
1.583,0.9796
1.584,0.9796
1.585,0.9796
1.586,0.9796
1.587,0.9796
1.588,0.9796
1.589,0.9796
1.59,0.9796
1.591,0.9796028
1.592,0.9796104
1.593,0.9796216
1.594,0.9796352
1.595,0.97965
1.596,0.9796648
1.597,0.9796784
1.598,0.9796896
1.599,0.9796972
1.6,0.9797
1.601,0.9797
1.602,0.9797
1.603,0.9797
1.604,0.9797
1.605,0.9797
1.606,0.9797
1.607,0.9797
1.608,0.9797
1.609,0.9797
1.61,0.9797
1.611,0.9797019
1.612,0.9797072
1.613,0.9797153
1.614,0.9797256
1.615,0.9797375
1.616,0.9797504
1.617,0.9797637
1.618,0.9797768
1.619,0.9797891
1.62,0.9798
1.621,0.9798109
1.622,0.9798232
1.623,0.9798363
1.624,0.9798496
1.625,0.9798625
1.626,0.9798744
1.627,0.9798847
1.628,0.9798928
1.629,0.9798981
1.63,0.9799
1.631,0.9799
1.632,0.9799
1.633,0.9799
1.634,0.9799
1.635,0.9799
1.636,0.9799
1.637,0.9799
1.638,0.9799
1.639,0.9799
1.64,0.9799
1.641,0.9799019
1.642,0.9799072
1.643,0.9799153
1.644,0.9799256
1.645,0.9799375
1.646,0.9799504
1.647,0.9799637
1.648,0.9799768
1.649,0.9799891
