Wavelength,Fiber prop
1.218,0.989994554
1.219,0.990054123
1.22,0.990115904
1.221,0.990183093
1.222,0.990258094
1.223,0.990339527
1.224,0.990426014
1.225,0.990516177
1.226,0.990608637
1.227,0.990702017
1.228,0.990794936
1.229,0.990886018
1.23,0.990973884
1.231,0.99106072
1.232,0.991149171
1.233,0.991238544
1.234,0.991328149
1.235,0.991417291
1.236,0.991505281
1.237,0.991591425
1.238,0.991675031
1.239,0.991755408
1.24,0.991831864
1.241,0.991910348
1.242,0.991995004
1.243,0.992082434
1.244,0.992169237
1.245,0.992252013
1.246,0.992327363
1.247,0.992391887
1.248,0.992442184
1.249,0.992474856
1.25,0.992486502
1.251,0.992486502
1.252,0.992486502
1.253,0.992486502
1.254,0.992486502
1.255,0.992486502
1.256,0.992486502
1.257,0.992486502
1.258,0.992486502
1.259,0.992486502
1.26,0.992486502
1.261,0.992486502
1.262,0.992486502
1.263,0.992486502
1.264,0.992486502
1.265,0.992486502
1.266,0.992486502
1.267,0.992486502
1.268,0.992486502
1.269,0.992486502
1.27,0.992486502
1.271,0.992486502
1.272,0.992486502
1.273,0.992486502
1.274,0.992486502
1.275,0.992486502
1.276,0.992486502
1.277,0.992486502
1.278,0.992486502
1.279,0.992486502
1.28,0.992486502
1.281,0.992488453
1.282,0.992493985
1.283,0.992502619
1.284,0.992513877
1.285,0.992527278
1.286,0.992542343
1.287,0.992558594
1.288,0.99257555
1.289,0.992592732
1.29,0.992609662
1.291,0.992628018
1.292,0.99264944
1.293,0.992673385
1.294,0.992699314
1.295,0.992726686
1.296,0.992754958
1.297,0.992783592
1.298,0.992812045
1.299,0.992839777
1.3,0.992866247
1.301,0.992894215
1.302,0.992925775
1.303,0.992959387
1.304,0.992993513
1.305,0.993026612
1.306,0.993057146
1.307,0.993083574
1.308,0.993104357
1.309,0.993117956
1.31,0.993122831
1.311,0.993120423
1.312,0.993113637
1.313,0.993103132
1.314,0.993089568
1.315,0.993073602
1.316,0.993055894
1.317,0.993037102
1.318,0.993017885
1.319,0.992998902
1.32,0.992980811
1.321,0.992962414
1.322,0.992942278
1.323,0.99292071
1.324,0.992898016
1.325,0.992874504
1.326,0.99285048
1.327,0.992826252
1.328,0.992802125
1.329,0.992778409
1.33,0.992755408
1.331,0.992731495
1.332,0.992705448
1.333,0.992678181
1.334,0.992650609
1.335,0.992623647
1.336,0.99259821
1.337,0.992575212
1.338,0.992555569
1.339,0.992540195
1.34,0.992530005
1.341,0.992523234
1.342,0.992517406
1.343,0.992512369
1.344,0.992507971
1.345,0.99250406
1.346,0.992500485
1.347,0.992497094
1.348,0.992493734
1.349,0.992490254
1.35,0.992486502
1.351,0.992482928
1.352,0.992479935
1.353,0.992477304
1.354,0.992474814
1.355,0.992472246
1.356,0.992469379
1.357,0.992465993
1.358,0.992461868
1.359,0.992456784
1.36,0.992450521
1.361,0.992431971
1.362,0.992391547
1.363,0.99233131
1.364,0.992253319
1.365,0.992159635
1.366,0.992052318
1.367,0.991933428
1.368,0.991805026
1.369,0.991669171
1.37,0.991527925
1.371,0.99133679
1.372,0.991063309
1.373,0.990727596
1.374,0.990349769
1.375,0.989949945
1.376,0.989548239
1.377,0.989164769
1.378,0.98881965
1.379,0.988533
1.38,0.988324934
1.381,0.988163285
1.382,0.988004669
1.383,0.98785238
1.384,0.987709712
1.385,0.987579956
1.386,0.987466408
1.387,0.98737236
1.388,0.987301105
1.389,0.987255937
1.39,0.987240149
1.391,0.987268364
1.392,0.987347501
1.393,0.987469298
1.394,0.987625491
1.395,0.98780782
1.396,0.988008021
1.397,0.988217833
1.398,0.988428992
1.399,0.988633236
1.4,0.988822304
1.401,0.989007896
1.402,0.989205352
1.403,0.98941187
1.404,0.989624646
1.405,0.989840877
1.406,0.99005776
1.407,0.990272492
1.408,0.990482269
1.409,0.990684288
1.41,0.990875746
1.411,0.991062617
1.412,0.991251286
1.413,0.991439567
1.414,0.991625273
1.415,0.991806218
1.416,0.991980216
1.417,0.992145081
1.418,0.992298626
1.419,0.992438666
1.42,0.992563013
1.421,0.992676177
1.422,0.992784053
1.423,0.992886537
1.424,0.992983525
1.425,0.993074912
1.426,0.993160595
1.427,0.993240467
1.428,0.993314426
1.429,0.993382367
1.43,0.993444185
1.431,0.993504079
1.432,0.993565143
1.433,0.993625617
1.434,0.993683739
1.435,0.993737751
1.436,0.99378589
1.437,0.993826396
1.438,0.993857509
1.439,0.993877468
1.44,0.993884512
1.441,0.986703578
1.442,0.967212472
1.443,0.938488737
1.444,0.903609915
1.445,0.865653551
1.446,0.827697187
1.447,0.792818365
1.448,0.76409463
1.449,0.744603524
1.45,0.73742259
1.451,0.737537389
1.452,0.737856585
1.453,0.738342379
1.454,0.738956971
1.455,0.739662563
1.456,0.740421355
1.457,0.741195546
1.458,0.741947338
1.459,0.742638932
1.46,0.743232527
1.461,0.743759487
1.462,0.744276774
1.463,0.744784986
1.464,0.745284724
1.465,0.745776586
1.466,0.746261171
1.467,0.746739079
1.468,0.747210909
1.469,0.74767726
1.47,0.748138731
1.471,0.74858696
1.472,0.749016849
1.473,0.749433889
1.474,0.749843576
1.475,0.750251402
1.476,0.750662861
1.477,0.751083447
1.478,0.751518652
1.479,0.75197397
1.48,0.752454895
1.481,0.752960909
1.482,0.753487017
1.483,0.754031993
1.484,0.754594614
1.485,0.755173656
1.486,0.755767895
1.487,0.756376106
1.488,0.756997065
1.489,0.757629549
1.49,0.758272332
1.491,0.758950633
1.492,0.759680476
1.493,0.760446847
1.494,0.761234735
1.495,0.762029124
1.496,0.762815002
1.497,0.763577356
1.498,0.764301171
1.499,0.764971436
1.5,0.765573136
1.501,0.76611835
1.502,0.766632142
1.503,0.767118975
1.504,0.767583312
1.505,0.768029618
1.506,0.768462354
1.507,0.768885986
1.508,0.769304975
1.509,0.769723787
1.51,0.770146883
1.511,0.770567341
1.512,0.770976856
1.513,0.771377822
1.514,0.77177263
1.515,0.772163674
1.516,0.772553345
1.517,0.772944037
1.518,0.773338143
1.519,0.773738055
1.52,0.774146165
1.521,0.774559227
1.522,0.774972996
1.523,0.775388366
1.524,0.77580623
1.525,0.776227483
1.526,0.776653019
1.527,0.777083732
1.528,0.777520515
1.529,0.777964262
1.53,0.778415869
1.531,0.778877982
1.532,0.779351332
1.533,0.779833936
1.534,0.78032381
1.535,0.780818972
1.536,0.781317439
1.537,0.781817228
1.538,0.782316356
