# wavelength_um,throughput
1.489999999999999991e+00,6.779354329476194874e-01
1.490999999999999881e+00,6.784244335937074100e-01
1.491999999999999771e+00,6.789135726301450680e-01
1.492999999999999661e+00,6.794028500354939437e-01
1.493999999999999551e+00,6.798922657883289533e-01
1.494999999999999440e+00,6.803818198672366702e-01
1.495999999999999330e+00,6.808715122508173234e-01
1.496999999999999220e+00,6.813613429176830216e-01
1.497999999999999110e+00,6.818513118464586409e-01
1.498999999999999000e+00,6.823414190157822690e-01
1.499999999999998890e+00,6.828316644043039840e-01
1.500999999999998780e+00,6.833220479906869649e-01
1.501999999999998670e+00,6.838125697536064918e-01
1.502999999999998559e+00,6.843032296717509455e-01
1.503999999999998449e+00,6.847940277238204754e-01
1.504999999999998339e+00,6.852849638885288863e-01
1.505999999999998229e+00,6.857760381446018627e-01
1.506999999999998119e+00,6.862672504707776344e-01
1.507999999999998009e+00,6.867586008458069768e-01
1.508999999999997899e+00,6.872500892484532109e-01
1.509999999999997788e+00,6.877417156574923141e-01
1.510999999999997678e+00,6.882334800517123652e-01
1.511999999999997568e+00,6.887253824099146549e-01
1.512999999999997458e+00,6.892174227109120199e-01
1.513999999999997348e+00,6.897096009335302869e-01
1.514999999999997238e+00,6.902019170566073836e-01
1.515999999999997128e+00,6.906943710589941166e-01
1.516999999999997017e+00,6.911869629195533937e-01
1.517999999999996907e+00,6.916796926171605575e-01
1.518999999999996797e+00,6.921725601307030518e-01
1.519999999999996687e+00,6.926655654390811989e-01
1.520999999999996577e+00,6.931587085212072008e-01
1.521999999999996467e+00,6.936519893560062489e-01
1.522999999999996357e+00,6.941454079224153029e-01
1.523999999999996247e+00,6.946389641993836461e-01
1.524999999999996136e+00,6.951326581658729964e-01
1.525999999999996026e+00,6.956264898008573949e-01
1.526999999999995916e+00,6.961204590833232064e-01
1.527999999999995806e+00,6.966145659922692301e-01
1.528999999999995696e+00,6.971088105067059226e-01
1.529999999999995586e+00,6.976031926056565080e-01
1.530999999999995476e+00,6.980977122681562008e-01
1.531999999999995365e+00,6.985923694732525391e-01
1.532999999999995255e+00,6.990871642000053843e-01
1.533999999999995145e+00,6.995820964274864773e-01
1.534999999999995035e+00,7.000771661347799935e-01
1.535999999999994925e+00,7.005723733009822096e-01
1.536999999999994815e+00,7.010677179052012820e-01
1.537999999999994705e+00,7.015631999265582452e-01
1.538999999999994595e+00,7.020588193441853475e-01
1.539999999999994484e+00,7.025545761372277154e-01
1.540999999999994374e+00,7.030504702848419107e-01
1.541999999999994264e+00,7.035465017661973741e-01
1.542999999999994154e+00,7.040426705604748703e-01
1.543999999999994044e+00,7.045389766468675985e-01
1.544999999999993934e+00,7.050354200045808595e-01
1.545999999999993824e+00,7.055320006128320554e-01
1.546999999999993713e+00,7.060287184508502456e-01
1.547999999999993603e+00,7.065255734978765911e-01
1.548999999999993493e+00,7.070225657331649094e-01
1.549999999999993383e+00,7.075196951359801201e-01
1.550999999999993273e+00,7.080169616855999104e-01
1.551999999999993163e+00,7.085143653613131809e-01
1.552999999999993053e+00,7.090119061424212665e-01
1.553999999999992943e+00,7.095095840082374927e-01
1.554999999999992832e+00,7.100073989380869532e-01
1.555999999999992722e+00,7.105053509113068433e-01
1.556999999999992612e+00,7.110034399072456823e-01
1.557999999999992502e+00,7.115016659052648684e-01
1.558999999999992392e+00,7.120000288847365688e-01
1.559999999999992282e+00,7.124985288250460513e-01
1.560999999999992172e+00,7.129971657055894640e-01
1.561999999999992061e+00,7.134959395057755005e-01
1.562999999999991951e+00,7.139948502050237344e-01
1.563999999999991841e+00,7.144938977827669513e-01
1.564999999999991731e+00,7.149930822184481505e-01
1.565999999999991621e+00,7.154924034915237652e-01
1.566999999999991511e+00,7.159918615814608867e-01
1.567999999999991401e+00,7.164914564677387077e-01
1.568999999999991291e+00,7.169911881298484113e-01
1.569999999999991180e+00,7.174910565472923940e-01
1.570999999999991070e+00,7.179910616995857087e-01
1.571999999999990960e+00,7.184912035662542884e-01
1.572999999999990850e+00,7.189914821268361678e-01
1.573999999999990740e+00,7.194918973608809276e-01
1.574999999999990630e+00,7.199924492479500282e-01
1.575999999999990520e+00,7.204931377676163651e-01
1.576999999999990409e+00,7.209939628994651573e-01
1.577999999999990299e+00,7.214949246230923929e-01
1.578999999999990189e+00,7.219960229181063838e-01
1.579999999999990079e+00,7.224972577641266547e-01
1.580999999999989969e+00,7.229986291407844989e-01
1.581999999999989859e+00,7.235001370277232002e-01
1.582999999999989749e+00,7.240017814045972555e-01
1.583999999999989639e+00,7.245035622510725970e-01
1.584999999999989528e+00,7.250054795468272584e-01
1.585999999999989418e+00,7.255075332715501535e-01
1.586999999999989308e+00,7.260097234049424086e-01
1.587999999999989198e+00,7.265120499267168075e-01
1.588999999999989088e+00,7.270145128165969028e-01
1.589999999999988978e+00,7.275171120543184600e-01
1.590999999999988868e+00,7.280198476196282353e-01
1.591999999999988757e+00,7.285227194922849758e-01
1.592999999999988647e+00,7.290257276520586416e-01
1.593999999999988537e+00,7.295288720787306280e-01
1.594999999999988427e+00,7.300321527520942100e-01
1.595999999999988317e+00,7.305355696519536535e-01
1.596999999999988207e+00,7.310391227581246598e-01
1.597999999999988097e+00,7.315428120504349208e-01
1.598999999999987986e+00,7.320466375087228972e-01
1.599999999999987876e+00,7.325505991128389294e-01
1.600999999999987766e+00,7.327585229329309779e-01
1.601999999999987656e+00,7.329664699142433015e-01
1.602999999999987546e+00,7.331744400553664720e-01
1.603999999999987436e+00,7.333824333548888408e-01
1.604999999999987326e+00,7.335904498113977601e-01
1.605999999999987216e+00,7.337984894234824695e-01
1.606999999999987105e+00,7.340065521897308765e-01
1.607999999999986995e+00,7.342146381087323315e-01
1.608999999999986885e+00,7.344227471790764072e-01
1.609999999999986775e+00,7.346308793993525654e-01
1.610999999999986665e+00,7.348390347681509338e-01
