Wavelength,NFIRAOSS
1.36,0.86928155
1.361,0.87114395
1.362,0.87114395
1.363,0.87114395
1.364,0.87114395
1.365,0.87114395
1.366,0.87195915
1.367,0.87195915
1.368,0.87195915
1.369,0.87195915
1.37,0.87195915
1.371,0.87095198
1.372,0.87095198
1.373,0.87095198
1.374,0.87095198
1.375,0.87095198
1.376,0.86956076
1.377,0.86956076
1.378,0.86956076
1.379,0.86956076
1.38,0.86956076
1.381,0.86915894
1.382,0.86915894
1.383,0.86915894
1.384,0.86915894
1.385,0.86915894
1.386,0.86963751
1.387,0.86963751
1.388,0.86963751
1.389,0.86963751
1.39,0.86963751
1.391,0.87054288
1.392,0.87054288
1.393,0.87054288
1.394,0.87054288
1.395,0.87054288
1.396,0.87052285
1.397,0.87052285
1.398,0.87052285
1.399,0.87052285
1.4,0.87052285
1.401,0.86944907
1.402,0.86944907
1.403,0.86944907
1.404,0.86944907
1.405,0.86944907
1.406,0.86859624
1.407,0.86859624
1.408,0.86859624
1.409,0.86859624
1.41,0.86859624
1.411,0.86817266
1.412,0.86817266
1.413,0.86817266
1.414,0.86817266
1.415,0.86817266
1.416,0.86719278
1.417,0.86719278
1.418,0.86719278
1.419,0.86719278
1.42,0.86719278
1.421,0.86699582
1.422,0.86699582
1.423,0.86699582
1.424,0.86699582
1.425,0.86699582
1.426,0.86771551
1.427,0.86771551
1.428,0.86771551
1.429,0.86771551
1.43,0.86771551
1.431,0.86839561
1.432,0.86839561
1.433,0.86839561
1.434,0.86839561
1.435,0.86839561
1.436,0.86957406
1.437,0.86957406
1.438,0.86957406
1.439,0.86957406
1.44,0.86957406
1.441,0.87143504
1.442,0.87143504
1.443,0.87143504
1.444,0.87143504
1.445,0.87143504
1.446,0.87303754
1.447,0.87303754
1.448,0.87303754
1.449,0.87303754
1.45,0.87303754
1.451,0.8744394
1.452,0.8744394
1.453,0.8744394
1.454,0.8744394
1.455,0.8744394
1.456,0.87606996
1.457,0.87606996
1.458,0.87606996
1.459,0.87606996
1.46,0.87606996
1.461,0.87753284
1.462,0.87753284
1.463,0.87753284
1.464,0.87753284
1.465,0.87753284
1.466,0.87779438
1.467,0.87779438
1.468,0.87779438
1.469,0.87779438
1.47,0.87779438
1.471,0.87841367
1.472,0.87841367
1.473,0.87841367
1.474,0.87841367
1.475,0.87841367
1.476,0.87822535
1.477,0.87822535
1.478,0.87822535
1.479,0.87822535
1.48,0.87822535
1.481,0.87720711
1.482,0.87720711
1.483,0.87720711
1.484,0.87720711
1.485,0.87720711
1.486,0.87613318
1.487,0.87613318
1.488,0.87613318
1.489,0.87613318
1.49,0.87613318
1.491,0.87543488
1.492,0.87543488
1.493,0.87543488
1.494,0.87543488
1.495,0.87543488
1.496,0.8740652
1.497,0.8740652
1.498,0.8740652
1.499,0.8740652
1.5,0.8740652
1.501,0.87284386
1.502,0.87284386
1.503,0.87284386
1.504,0.87284386
1.505,0.87284386
1.506,0.87238505
1.507,0.87238505
1.508,0.87238505
1.509,0.87238505
1.51,0.87238505
1.511,0.87187054
1.512,0.87187054
1.513,0.87187054
1.514,0.87187054
1.515,0.87187054
1.516,0.87191735
1.517,0.87191735
1.518,0.87191735
1.519,0.87191735
1.52,0.87191735
1.521,0.87274834
1.522,0.87274834
1.523,0.87274834
1.524,0.87274834
1.525,0.87274834
1.526,0.87409365
1.527,0.87409365
1.528,0.87409365
1.529,0.87409365
1.53,0.87409365
1.531,0.87522429
1.532,0.87522429
1.533,0.87522429
1.534,0.87522429
1.535,0.87522429
1.536,0.87702288
1.537,0.87702288
1.538,0.87702288
1.539,0.87702288
1.54,0.87702288
1.541,0.87937794
1.542,0.87937794
1.543,0.87937794
1.544,0.87937794
1.545,0.87937794
1.546,0.88148881
1.547,0.88148881
1.548,0.88148881
1.549,0.88148881
1.55,0.88148881
1.551,0.88302818
1.552,0.88302818
1.553,0.88302818
1.554,0.88302818
1.555,0.88302818
1.556,0.8852034
1.557,0.8852034
1.558,0.8852034
1.559,0.8852034
1.56,0.8852034
1.561,0.88656373
1.562,0.88656373
1.563,0.88656373
1.564,0.88656373
1.565,0.88656373
1.566,0.88754635
1.567,0.88754635
1.568,0.88754635
1.569,0.88754635
1.57,0.88754635
1.571,0.88841574
1.572,0.88841574
1.573,0.88841574
1.574,0.88841574
1.575,0.88841574
1.576,0.88823749
1.577,0.88823749
1.578,0.88823749
1.579,0.88823749
1.58,0.88823749
1.581,0.88784496
1.582,0.88784496
1.583,0.88784496
1.584,0.88784496
1.585,0.88784496
1.586,0.88747541
1.587,0.88747541
1.588,0.88747541
1.589,0.88747541
1.59,0.88747541
1.591,0.88698946
1.592,0.88698946
1.593,0.88698946
1.594,0.88698946
1.595,0.88698946
1.596,0.88581297
1.597,0.88581297
1.598,0.88581297
1.599,0.88581297
1.6,0.88581297
1.601,0.8846712
1.602,0.8846712
1.603,0.8846712
1.604,0.8846712
1.605,0.8846712
1.606,0.88391698
1.607,0.88391698
1.608,0.88391698
1.609,0.88391698
1.61,0.88391698
1.611,0.88289412
1.612,0.88289412
1.613,0.88289412
1.614,0.88289412
1.615,0.88289412
1.616,0.88230006
1.617,0.88230006
1.618,0.88230006
1.619,0.88230006
1.62,0.88230006
1.621,0.88223327
1.622,0.88223327
1.623,0.88223327
1.624,0.88223327
1.625,0.88223327
1.626,0.88218783
1.627,0.88218783
1.628,0.88218783
1.629,0.88218783
1.63,0.88218783
1.631,0.88250423
1.632,0.88250423
1.633,0.88250423
1.634,0.88250423
1.635,0.88250423
1.636,0.88373311
1.637,0.88373311
1.638,0.88373311
1.639,0.88373311
1.64,0.88373311
1.641,0.88463074
1.642,0.88463074
1.643,0.88463074
1.644,0.88463074
1.645,0.88463074
1.646,0.88501337
1.647,0.88501337
1.648,0.88501337
1.649,0.88501337
1.65,0.88501337
1.651,0.88631615
1.652,0.88631615
1.653,0.88631615
1.654,0.88631615
1.655,0.88631615
1.656,0.88812457
1.657,0.88812457
1.658,0.88812457
1.659,0.88812457
1.66,0.88812457
1.661,0.88926021
1.662,0.88926021
1.663,0.88926021
1.664,0.88926021
1.665,0.88926021
1.666,0.88997613
1.667,0.88997613
1.668,0.88997613
1.669,0.88997613
1.67,0.88997613
1.671,0.89140904
1.672,0.89140904
1.673,0.89140904
1.674,0.89140904
1.675,0.89140904
1.676,0.89195816
1.677,0.89195816
1.678,0.89195816
1.679,0.89195816
1.68,0.89195816
1.681,0.89238959
1.682,0.89238959
1.683,0.89238959
1.684,0.89238959
1.685,0.89238959
1.686,0.89267503
1.687,0.89267503
1.688,0.89267503
1.689,0.89267503
1.69,0.89267503
1.691,0.89237328
1.692,0.89237328
1.693,0.89237328
1.694,0.89237328
1.695,0.89237328
1.696,0.89200496
1.697,0.89200496
1.698,0.89200496
1.699,0.89200496
1.7,0.89200496
1.701,0.8913959
1.702,0.8913959
1.703,0.8913959
1.704,0.8913959
1.705,0.8913959
1.706,0.89069959
1.707,0.89069959
1.708,0.89069959
1.709,0.89069959
1.71,0.89069959
1.711,0.88920175
1.712,0.88920175
1.713,0.88920175
1.714,0.88920175
1.715,0.88920175
1.716,0.8883608
1.717,0.8883608
1.718,0.8883608
1.719,0.8883608
1.72,0.8883608
1.721,0.8873879
1.722,0.8873879
1.723,0.8873879
1.724,0.8873879
1.725,0.8873879
1.726,0.88657712
1.727,0.88657712
1.728,0.88657712
1.729,0.88657712
1.73,0.88657712
1.731,0.8853195
1.732,0.8853195
1.733,0.8853195
1.734,0.8853195
1.735,0.8853195
1.736,0.88497586
1.737,0.88497586
1.738,0.88497586
1.739,0.88497586
1.74,0.88497586
1.741,0.88441371
1.742,0.88441371
1.743,0.88441371
1.744,0.88441371
1.745,0.88441371
1.746,0.88424824
1.747,0.88424824
1.748,0.88424824
1.749,0.88424824
1.75,0.88424824
1.751,0.88448543
1.752,0.88448543
1.753,0.88448543
1.754,0.88448543
1.755,0.88448543
1.756,0.8846542
1.757,0.8846542
1.758,0.8846542
1.759,0.8846542
1.76,0.8846542
1.761,0.88505358
1.762,0.88505358
1.763,0.88505358
1.764,0.88505358
1.765,0.88505358
1.766,0.88640438
1.767,0.88640438
1.768,0.88640438
1.769,0.88640438
1.77,0.88640438
1.771,0.8871646
1.772,0.8871646
1.773,0.8871646
1.774,0.8871646
1.775,0.8871646
1.776,0.88841811
1.777,0.88841811
1.778,0.88841811
1.779,0.88841811
1.78,0.88841811
1.781,0.88940203
1.782,0.88940203
1.783,0.88940203
1.784,0.88940203
1.785,0.88940203
1.786,0.89093124
1.787,0.89093124
1.788,0.89093124
1.789,0.89093124
1.79,0.89093124
1.791,0.89218463
1.792,0.89218463
1.793,0.89218463
1.794,0.89218463
1.795,0.89218463
1.796,0.89329516
1.797,0.89329516
1.798,0.89329516
1.799,0.89329516
1.8,0.89329516
1.801,0.89451171
1.802,0.89451171
1.803,0.89451171
1.804,0.89451171
1.805,0.89451171
1.806,0.89560178
1.807,0.89560178
1.808,0.89560178
1.809,0.89560178
1.81,0.89560178
1.811,0.89671787
1.812,0.89671787
1.813,0.89671787
1.814,0.89671787
1.815,0.89671787
1.816,0.89726895
1.817,0.89726895
1.818,0.89726895
1.819,0.89726895
1.82,0.89726895
1.821,0.89781924
1.822,0.89781924
1.823,0.89781924
1.824,0.89781924
1.825,0.89781924
1.826,0.89830746
1.827,0.89830746
1.828,0.89830746
1.829,0.89830746
1.83,0.89830746
1.831,0.89828716
1.832,0.89828716
1.833,0.89828716
1.834,0.89828716
1.835,0.89828716
1.836,0.89816289
1.837,0.89816289
1.838,0.89816289
1.839,0.89816289
1.84,0.89816289
1.841,0.89803942
1.842,0.89803942
1.843,0.89803942
1.844,0.89803942
1.845,0.89803942
1.846,0.89778802
1.847,0.89778802
1.848,0.89778802
1.849,0.89778802
1.85,0.89778802
1.851,0.89672766
1.852,0.89672766
1.853,0.89672766
1.854,0.89672766
1.855,0.89672766
1.856,0.89603587
1.857,0.89603587
1.858,0.89603587
1.859,0.89603587
1.86,0.89603587
1.861,0.8953264
1.862,0.8953264
1.863,0.8953264
1.864,0.8953264
1.865,0.8953264
1.866,0.89451132
1.867,0.89451132
1.868,0.89451132
1.869,0.89451132
1.87,0.89451132
1.871,0.89381686
1.872,0.89381686
1.873,0.89381686
1.874,0.89381686
1.875,0.89381686
1.876,0.89284808
1.877,0.89284808
1.878,0.89284808
1.879,0.89284808
1.88,0.89284808
1.881,0.89283137
1.882,0.89283137
1.883,0.89283137
1.884,0.89283137
1.885,0.89283137
1.886,0.8925222
1.887,0.8925222
1.888,0.8925222
1.889,0.8925222
1.89,0.8925222
1.891,0.89228211
1.892,0.89228211
1.893,0.89228211
1.894,0.89228211
1.895,0.89228211
1.896,0.89177236
1.897,0.89177236
1.898,0.89177236
1.899,0.89177236
1.9,0.89177236
1.901,0.89242159
1.902,0.89242159
1.903,0.89242159
1.904,0.89242159
1.905,0.89242159
1.906,0.89265072
1.907,0.89265072
1.908,0.89265072
1.909,0.89265072
1.91,0.89265072
1.911,0.89242818
1.912,0.89242818
1.913,0.89242818
1.914,0.89242818
1.915,0.89242818
1.916,0.8932282
1.917,0.8932282
1.918,0.8932282
1.919,0.8932282
1.92,0.8932282
1.921,0.89409482
1.922,0.89409482
1.923,0.89409482
1.924,0.89409482
1.925,0.89409482
1.926,0.89459878
1.927,0.89459878
1.928,0.89459878
1.929,0.89459878
1.93,0.89459878
1.931,0.89526201
1.932,0.89526201
1.933,0.89526201
1.934,0.89526201
1.935,0.89526201
1.936,0.8958783
1.937,0.8958783
1.938,0.8958783
1.939,0.8958783
1.94,0.8958783
1.941,0.89662774
1.942,0.89662774
1.943,0.89662774
1.944,0.89662774
1.945,0.89662774
1.946,0.89745635
1.947,0.89745635
1.948,0.89745635
1.949,0.89745635
1.95,0.89745635
1.951,0.89838058
1.952,0.89838058
1.953,0.89838058
1.954,0.89838058
1.955,0.89838058
1.956,0.89874978
1.957,0.89874978
1.958,0.89874978
1.959,0.89874978
1.96,0.89874978
1.961,0.89945675
1.962,0.89945675
1.963,0.89945675
1.964,0.89945675
1.965,0.89945675
1.966,0.90068492
1.967,0.90068492
1.968,0.90068492
1.969,0.90068492
1.97,0.90068492
1.971,0.90085945
1.972,0.90085945
1.973,0.90085945
1.974,0.90085945
1.975,0.90085945
1.976,0.9007787
1.977,0.9007787
1.978,0.9007787
1.979,0.9007787
1.98,0.9007787
1.981,0.90145298
1.982,0.90145298
1.983,0.90145298
1.984,0.90145298
1.985,0.90145298
1.986,0.90178773
1.987,0.90178773
1.988,0.90178773
1.989,0.90178773
1.99,0.90178773
1.991,0.90167424
1.992,0.90167424
1.993,0.90167424
1.994,0.90167424
1.995,0.90167424
1.996,0.90227849
1.997,0.90227849
1.998,0.90227849
1.999,0.90227849
2,0.90227849
2.001,0.90263499
2.002,0.90263499
2.003,0.90263499
2.004,0.90263499
2.005,0.90263499
2.006,0.90277289
2.007,0.90277289
2.008,0.90277289
2.009,0.90277289
2.01,0.90277289
2.011,0.90203004
2.012,0.90203004
2.013,0.90203004
2.014,0.90203004
2.015,0.90203004
2.016,0.90197455
2.017,0.90197455
2.018,0.90197455
2.019,0.90197455
2.02,0.90197455
2.021,0.90210638
2.022,0.90210638
2.023,0.90210638
2.024,0.90210638
2.025,0.90210638
2.026,0.90181199
2.027,0.90181199
2.028,0.90181199
2.029,0.90181199
2.03,0.90181199
2.031,0.90153868
2.032,0.90153868
2.033,0.90153868
2.034,0.90153868
2.035,0.90153868
2.036,0.90140726
2.037,0.90140726
2.038,0.90140726
2.039,0.90140726
2.04,0.90140726
2.041,0.90145689
2.042,0.90145689
2.043,0.90145689
2.044,0.90145689
2.045,0.90145689
2.046,0.90099378
2.047,0.90099378
2.048,0.90099378
2.049,0.90099378
2.05,0.90099378
2.051,0.90060172
2.052,0.90060172
2.053,0.90060172
2.054,0.90060172
2.055,0.90060172
2.056,0.89995543
2.057,0.89995543
2.058,0.89995543
2.059,0.89995543
2.06,0.89995543
2.061,0.89892874
2.062,0.89892874
2.063,0.89892874
2.064,0.89892874
2.065,0.89892874
2.066,0.8989434
2.067,0.8989434
2.068,0.8989434
2.069,0.8989434
2.07,0.8989434
2.071,0.8985512
2.072,0.8985512
2.073,0.8985512
2.074,0.8985512
2.075,0.8985512
2.076,0.8973161
2.077,0.8973161
2.078,0.8973161
2.079,0.8973161
2.08,0.8973161
2.081,0.89693058
2.082,0.89693058
2.083,0.89693058
2.084,0.89693058
2.085,0.89693058
2.086,0.89726155
2.087,0.89726155
2.088,0.89726155
2.089,0.89726155
2.09,0.89726155
2.091,0.89637727
2.092,0.89637727
2.093,0.89637727
2.094,0.89637727
2.095,0.89637727
2.096,0.8955937
2.097,0.8955937
2.098,0.8955937
2.099,0.8955937
2.1,0.8955937
2.101,0.89476722
2.102,0.89476722
2.103,0.89476722
2.104,0.89476722
2.105,0.89476722
2.106,0.89411671
2.107,0.89411671
2.108,0.89411671
2.109,0.89411671
2.11,0.89411671
2.111,0.89327125
2.112,0.89327125
2.113,0.89327125
2.114,0.89327125
2.115,0.89327125
2.116,0.89184715
2.117,0.89184715
2.118,0.89184715
2.119,0.89184715
2.12,0.89184715
2.121,0.89095876
2.122,0.89095876
2.123,0.89095876
2.124,0.89095876
2.125,0.89095876
2.126,0.88986584
2.127,0.88986584
2.128,0.88986584
2.129,0.88986584
2.13,0.88986584
2.131,0.8888366
2.132,0.8888366
2.133,0.8888366
2.134,0.8888366
2.135,0.8888366
2.136,0.88760641
2.137,0.88760641
2.138,0.88760641
2.139,0.88760641
2.14,0.88760641
2.141,0.88584048
2.142,0.88584048
2.143,0.88584048
2.144,0.88584048
2.145,0.88584048
2.146,0.88438532
2.147,0.88438532
2.148,0.88438532
2.149,0.88438532
2.15,0.88438532
2.151,0.88214956
2.152,0.88214956
2.153,0.88214956
2.154,0.88214956
2.155,0.88214956
2.156,0.87928997
2.157,0.87928997
2.158,0.87928997
2.159,0.87928997
2.16,0.87928997
2.161,0.87580331
2.162,0.87580331
2.163,0.87580331
2.164,0.87580331
2.165,0.87580331
2.166,0.87291285
2.167,0.87291285
2.168,0.87291285
2.169,0.87291285
2.17,0.87291285
2.171,0.86974564
2.172,0.86974564
2.173,0.86974564
2.174,0.86974564
2.175,0.86974564
2.176,0.86615811
2.177,0.86615811
2.178,0.86615811
2.179,0.86615811
2.18,0.86615811
2.181,0.86165817
2.182,0.86165817
2.183,0.86165817
2.184,0.86165817
2.185,0.86165817
2.186,0.85666241
2.187,0.85666241
2.188,0.85666241
2.189,0.85666241
2.19,0.85666241
2.191,0.85087981
2.192,0.85087981
2.193,0.85087981
2.194,0.85087981
2.195,0.85087981
2.196,0.84403153
2.197,0.84403153
2.198,0.84403153
2.199,0.84403153
2.2,0.84403153
2.201,0.84018877
2.202,0.84018877
2.203,0.84018877
2.204,0.84018877
2.205,0.84018877
2.206,0.83714709
2.207,0.83714709
2.208,0.83714709
2.209,0.83714709
2.21,0.83714709
2.211,0.83649594
2.212,0.83649594
2.213,0.83649594
2.214,0.83649594
2.215,0.83649594
2.216,0.83674175
2.217,0.83674175
2.218,0.83674175
2.219,0.83674175
2.22,0.83674175
2.221,0.83741188
2.222,0.83741188
2.223,0.83741188
2.224,0.83741188
2.225,0.83741188
2.226,0.83764464
2.227,0.83764464
2.228,0.83764464
2.229,0.83764464
2.23,0.83764464
2.231,0.83777894
2.232,0.83777894
2.233,0.83777894
2.234,0.83777894
2.235,0.83777894
2.236,0.83783151
2.237,0.83783151
2.238,0.83783151
2.239,0.83783151
2.24,0.83783151
2.241,0.83802027
2.242,0.83802027
2.243,0.83802027
2.244,0.83802027
2.245,0.83802027
2.246,0.83767158
2.247,0.83767158
2.248,0.83767158
2.249,0.83767158
2.25,0.83767158
2.251,0.83950017
2.252,0.83950017
2.253,0.83950017
2.254,0.83950017
2.255,0.83950017
2.256,0.84158531
2.257,0.84158531
2.258,0.84158531
2.259,0.84158531
2.26,0.84158531
2.261,0.84335332
2.262,0.84335332
2.263,0.84335332
2.264,0.84335332
2.265,0.84335332
2.266,0.84496878
2.267,0.84496878
2.268,0.84496878
2.269,0.84496878
2.27,0.84496878
2.271,0.84733078
2.272,0.84733078
2.273,0.84733078
2.274,0.84733078
2.275,0.84733078
2.276,0.84867599
2.277,0.84867599
2.278,0.84867599
2.279,0.84867599
2.28,0.84867599
2.281,0.84962368
2.282,0.84962368
2.283,0.84962368
2.284,0.84962368
2.285,0.84962368
2.286,0.85118029
2.287,0.85118029
2.288,0.85118029
2.289,0.85118029
2.29,0.85118029
2.291,0.85233542
2.292,0.85233542
2.293,0.85233542
2.294,0.85233542
2.295,0.85233542
