Wavelength,K-L Fiber
1.219,0.95769063
1.22,0.95779144
1.221,0.95786496
1.222,0.9579742
1.223,0.95807924
1.224,0.95818009
1.225,0.95831038
1.226,0.95842282
1.227,0.9585174
1.228,0.95860358
1.229,0.95868032
1.23,0.95874759
1.231,0.95881277
1.232,0.9588748
1.233,0.95893368
1.234,0.95904514
1.235,0.95913347
1.236,0.95919868
1.237,0.95927441
1.238,0.95937118
1.239,0.959489
1.24,0.95954371
1.241,0.95960999
1.242,0.95968786
1.243,0.95978257
1.244,0.95985203
1.245,0.95989623
1.246,0.95999307
1.247,0.9601036
1.248,0.96022782
1.249,0.96031627
1.25,0.96039314
1.251,0.96045843
1.252,0.9605174
1.253,0.9605827
1.254,0.96065433
1.255,0.96070067
1.256,0.96077863
1.257,0.96088819
1.258,0.96094087
1.259,0.96101463
1.26,0.96110947
1.261,0.96118746
1.262,0.96127916
1.263,0.96138456
1.264,0.96143938
1.265,0.96151634
1.266,0.96161544
1.267,0.96169136
1.268,0.96175885
1.269,0.9618179
1.27,0.96189384
1.271,0.96197295
1.272,0.96205522
1.273,0.96212484
1.274,0.96219236
1.275,0.96225777
1.276,0.96233586
1.277,0.96242027
1.278,0.96251103
1.279,0.96259335
1.28,0.96267251
1.281,0.96274851
1.282,0.96284564
1.283,0.96293538
1.284,0.96301774
1.285,0.96311278
1.286,0.9632131
1.287,0.96331872
1.288,0.96338844
1.289,0.96346555
1.29,0.96355007
1.291,0.96361557
1.292,0.96369693
1.293,0.96379415
1.294,0.96385756
1.295,0.96392837
1.296,0.96400658
1.297,0.96409538
1.298,0.96417466
1.299,0.96424444
1.3,0.96432903
1.301,0.96442102
1.302,0.96452042
1.303,0.96459234
1.304,0.96467802
1.305,0.96477745
1.306,0.96485996
1.307,0.96495307
1.308,0.96505676
1.309,0.96509877
1.31,0.96514079
1.311,0.9651828
1.312,0.96522482
1.313,0.96526683
1.314,0.96530884
1.315,0.96535086
1.316,0.96539287
1.317,0.96543489
1.318,0.9654769
1.319,0.96551892
1.32,0.96556093
1.321,0.96564079
1.322,0.96572066
1.323,0.96580052
1.324,0.96588038
1.325,0.96596024
1.326,0.96604011
1.327,0.96611997
1.328,0.96619983
1.329,0.9662797
1.33,0.96635956
1.331,0.96643942
1.332,0.96651928
1.333,0.96659915
1.334,0.96667901
1.335,0.96675887
1.336,0.96683874
1.337,0.9669186
1.338,0.96699846
1.339,0.96707833
1.34,0.96715819
1.341,0.96723556
1.342,0.96731293
1.343,0.96739031
1.344,0.96746768
1.345,0.96754505
1.346,0.96762242
1.347,0.9676998
1.348,0.96777717
1.349,0.96785454
1.35,0.96793191
1.351,0.96800929
1.352,0.96808666
1.353,0.96816403
1.354,0.9682414
1.355,0.96831877
1.356,0.96839615
1.357,0.96847352
1.358,0.96855089
1.359,0.96862826
1.36,0.96870564
1.361,0.96877424
1.362,0.96884283
