Wavelength,Echelle
2.41,0.89349
2.411,0.8598925
2.412,0.8220611
2.413,0.7802739
2.414,0.7348545
2.415,0.6862174
2.416,0.6348678
2.417,0.5813266
2.418,0
2.419,0
2.42,0
2.421,0
2.422,0
2.423,0
2.424,0.5366975
2.425,0.5721043
2.426,0.607655
2.427,0.6431515
2.428,0.6783631
2.429,0.7130756
2.43,0.7470194
2.431,0.779954
2.432,0.8116237
2.433,0.8417482
2.434,0.8700689
2.435,0.8963
2.436,0.920172
2.437,0.9414118
2.438,0.9597552
2.439,0.9749519
2.44,0.9867544
2.441,0.9949391
2.442,0.9992974
2.443,0.9996491
2.444,0.9958399
2.445,0.9877486
2.446,0.9752861
2.447,0.9584053
2.448,0.9371103
2.449,0.9114401
2.45,0.8814926
2.451,0.8474193
2.452,0.809431
2.453,0.7677777
2.454,0.7228158
2.455,0.6749042
2.456,0.6245214
2.457,0.5721539
2.458,0
2.459,0
2.46,0
