wave,throughput
1.9429443876461823,0.0
1.9431395150693553,1.0
1.94333370266839,1.0
1.943526972408727,1.0
1.943719346067733,1.0
1.9439108452347007,1.0
1.9441014913108496,1.0
1.944291305509324,1.0
1.9444803088551956,1.0
1.9446685221854614,1.0
1.944855966149044,1.0
1.9450426612067937,1.0
1.9452286276314852,1.0
1.9454138855078202,1.0
1.945598454732426,1.0
1.9457823550138564,1.0
1.945965605872591,1.0
1.9461482266410357,1.0
1.946330236463522,1.0
1.946511654296308,1.0
1.9466924989075776,1.0
1.9468727888774409,1.0
1.947052542597934,1.0
1.947231778273019,1.0
1.9474105139185844,1.0
1.9475887673624444,1.0
1.9477665562443391,1.0
1.9479438980159356,1.0
1.9481208099408258,1.0
1.948297309094529,1.0
1.9484734123644893,1.0
1.948649136450078,1.0
1.9488244978625915,1.0
1.948999512925253,1.0
1.9491741977732115,1.0
1.949348568353542,1.0
1.9495226404252457,1.0
1.9496964295592498,1.0
1.9498699511384074,1.0
1.9500432203574982,1.0
1.9502162522232278,1.0
1.9503890615542272,1.0
1.9505616629810543,1.0
1.9507340709461927,1.0
1.950906299704052,1.0
1.9510783633209683,1.0
1.9512502756752035,1.0
1.9514220504569453,1.0
1.951593701168308,1.0
1.9517652411233315,1.0
1.951936683447982,1.0
1.9521080410801521,1.0
1.9522793267696599,1.0
1.9524505530782497,1.0
1.9526217323795922,1.0
1.9527928768592837,1.0
1.952963998514847,1.0
1.953135109155731,1.0
1.95330622040331,1.0
1.9534773436908854,1.0
1.9536484902636837,1.0
1.9538196711788582,1.0
1.9539908973054878,1.0
1.9541621793245778,1.0
1.9543335277290592,1.0
1.9545049528237897,1.0
1.9546764647255521,1.0
1.9548480733630564,1.0
1.9550197884769378,1.0
1.955191619619758,1.0
1.9553635761560049,1.0
1.9555356672620916,1.0
1.9557079019263586,1.0
1.9558802889490716,1.0
1.9560528369424224,1.0
1.9562255543305291,1.0
1.956398449349436,1.0
1.956571530047113,1.0
1.9567448042834565,1.0
1.956918279730289,1.0
1.9570919638713589,1.0
1.9572658640023404,1.0
1.9574399872308341,1.0
1.957614340476367,1.0
1.9577889304703915,1.0
1.9579637637562866,1.0
1.9581388466893568,1.0
1.9583141854368333,1.0
1.9584897859778732,1.0
1.9586656541035594,1.0
1.958841795416901,1.0
1.9590182153328333,1.0
1.9591949190782179,1.0
1.9593719116918418,1.0
1.9595491980244184,1.0
1.9597267827385876,1.0
1.9599046703089147,1.0
1.9600828650218913,1.0
1.9602613709759356,1.0
1.960440192081391,1.0
1.9606193320605276,1.0
1.9607987944475413,1.0
1.9609785825885542,1.0
1.9611586996416142,1.0
1.9613391485766958,1.0
1.961519932175699,1.0
1.9617010530324506,1.0
1.9618825135527025,1.0
1.9620643159541333,1.0
1.9622464622663478,1.0
1.9624289543308764,1.0
1.962611793801176,1.0
1.9627949821426292,1.0
1.962978520632545,1.0
1.9631624103601581,1.0
1.9633466522266299,1.0
1.9635312469450472,1.0
1.9637161950404232,1.0
1.9639014968496973,1.0
1.9640871525217345,1.0
1.9642731620173266,1.0
1.9644595251091905,1.0
1.9646462413819703,1.0
1.964833310232235,1.0
1.965020730868481,1.0
1.9652085023111294,1.0
1.9653966233925284,1.0
1.9655850927569518,1.0
1.9657739088605997,1.0
1.9659630699715978,1.0
1.9661525741699983,1.0
1.9663424193477799,1.0
1.9665326032088462,1.0
1.9667231232690279,1.0
1.9669139768560813,1.0
1.967105161109689,1.0
1.9672966729814596,1.0
1.9674885092349277,1.0
1.9676806664455537,1.0
1.9678731410007249,1.0
1.9680659290997538,1.0
1.9682590267538795,1.0
1.9684524297862669,1.0
1.9686461338320074,1.0
1.9688401343381177,1.0
1.969034426563541,1.0
1.9692290055791473,1.0
1.9694238662677312,1.0
1.9696190033240148,1.0
1.9698144112546452,1.0
1.970010084378196,1.0
1.9702060168251672,1.0
1.9704022025379841,1.0
1.970598635270999,1.0
1.9707953085904895,1.0
1.9709922158746596,1.0
1.9711893503136395,1.0
1.971386704909485,1.0
1.971584272476179,1.0
1.9717820456396289,1.0
1.9719800168376695,1.0
1.9721781783200611,1.0
1.9723765221484906,1.0
1.9725750401965698,1.0
1.972773724149838,1.0
1.9729725655057597,1.0
1.9731715555737255,1.0
1.9733706854750526,1.0
1.9735699461429836,1.0
1.9737693283226878,1.0
1.9739688225712602,1.0
1.974168419257722,1.0
1.9743681085630203,1.0
1.9745678804800284,1.0
1.9747677248135458,1.0
1.9749676311802977,1.0
1.9751675890089362,1.0
1.9753675875400385,1.0
1.9755676158261082,1.0
1.9757676627315752,1.0
1.9759677169327954,1.0
1.9761677669180506,1.0
1.9763678009875487,1.0
1.9765678072534238,1.0
1.9767677736397364,0.0
1.993636079212326,0.0
1.993817355913274,1.0
1.9939987083414359,1.0
1.9941801364446532,1.0
1.9943616402136555,1.0
1.9945432196812354,1.0
1.9947248749214244,1.0
1.9949066060486682,1.0
1.9950884132170017,1.0
1.9952702966192246,1.0
1.9954522564860764,1.0
1.9956342930854127,1.0
1.9958164067213795,1.0
1.995998597733589,1.0
1.9961808664962948,1.0
1.9963632134175677,1.0
1.9965456389384706,1.0
1.9967281435322337,1.0
1.9969107277034306,1.0
1.997093391987153,1.0
1.9972761369481862,1.0
1.9974589631801842,1.0
1.997641871304846,1.0
1.99782486197109,1.0
1.9980079358542295,1.0
1.9981910936551484,1.0
1.998374336099476,1.0
1.9985576639367633,1.0
1.9987410779396577,1.0
1.9989245789030778,1.0
1.9991081676433902,1.0
1.9992918449975832,1.0
1.999475611822444,1.0
1.999659468993732,1.0
1.9998434174053559,1.0
2.000027457968548,1.0
2.0002115916110403,1.0
2.000395819276239,1.0
2.0005801419224003,1.0
2.0007645605218065,1.0
2.0009490760599395,1.0
2.001133689534658,1.0
2.0013184019553725,1.0
2.001503214342219,1.0
2.001688127725237,1.0
2.001873143143543,1.0
2.0020582616445055,1.0
2.002243484282922,1.0
2.0024288121201947,1.0
2.002614246223502,1.0
2.0027997876649786,1.0
2.0029854375208886,1.0
2.0031711968708,1.0
2.003357066796762,1.0
2.0035430483824803,1.0
