wavelength_um,coupling_eff_mode1,coupling_eff_mode2,coupling_eff_mode3
0.98,0.0212374224409705,0.0209501447659873,0.0207543027339343
0.987081632653061,0.0215508928321735,0.0211267736721494,0.0209265427423599
0.994163265306122,0.0218659098262862,0.0212986086284646,0.0210939368844052
1.00124489795918,0.0221824510329398,0.0214653970056486,0.0212562375655214
1.00832653061224,0.0225004882093654,0.0216268749849652,0.0214131878207191
1.01540816326531,0.0228199878192264,0.0217827677610075,0.0215645215026869
1.02248979591837,0.0231409117709984,0.0219327898882024,0.0217099635204171
1.02957142857143,0.0234632182629519,0.0220766457141199,0.0218492300842384
1.03665306122449,0.0237868626664388,0.0222140298402724,0.0219820289143506
1.04373469387755,0.0241117983872329,0.0223446275523658,0.0221080593734221
1.05081632653061,0.0244379776549913,0.0224681151661064,0.0222270124888223
1.05789795918367,0.0247653522024287,0.0225841602408343,0.0223385708359007
1.06497959183673,0.0250938738076422,0.022692421620616,0.0224424082597586
1.0720612244898,0.0254234946844502,0.0227925492702366,0.0225381894186536
1.07914285714286,0.025754167716066,0.0228841838811503,0.0226255691371164
1.08622448979592,0.0260858465365327,0.0229669562293714,0.0227041915607649
1.09330612244898,0.0264184854718624,0.0230404862731277,0.022773689107493
1.10038775510204,0.0267520393586646,0.023104381982612,0.0228336812111195
1.1074693877551,0.0270864632621947,0.0231582378971871,0.0228837728537088
1.11455102040816,0.0274217121183171,0.0232016334068662,0.0229235528816526
1.12163265306122,0.0277577403249758,0.0232341307547876,0.022952592098332
1.12871428571429,0.028094501308596,0.0232552727557695,0.0229704411228206
1.13579591836735,0.0284319470895997,0.023264580222907,0.0229766279997301
1.14287755102041,0.0287700278691119,0.0232615490896136,0.0229706555399786
1.14995918367347,0.029108691656186,0.0232456472085376,0.0229519983659814
1.15704081632653,0.029447883951663,0.0232163108013874,0.0229200996274805
1.16412244897959,0.0297875475013063,0.0231729405248156,0.0228743673458159
1.17120408163265,0.0301276221272645,0.0231148971069855,0.0228141703347055
1.17828571428571,0.030468044643368,0.0230414964970232,0.0227388336342185
1.18536734693878,0.0308087488563695,0.0229520044548269,0.0226476333811357
1.19244897959184,0.0311496656520995,0.022845630491033,0.0225397910226108
1.1995306122449,0.0314907231626946,0.0227215210453823,0.0224144667599954
1.20661224489796,0.0318318470086295,0.0225787517648456,0.022270752084411
1.21369387755102,0.032172960607276,0.0224163187085178,0.022107661232978
1.22077551020408,0.032513985538137,0.0222331282611289,0.0219241213512646
1.22785714285714,0.0328548419537769,0.022027985475917,0.0217189610883801
1.2349387755102,0.0331954490247586,0.0217995804823562,0.0214908972681652
1.24202040816327,0.0335357254066011,0.0215464724716283,0.0212385191601064
1.24910204081633,0.0338755897168397,0.021267070590915,0.0209602696954434
1.25618367346939,0.0342149610106773,0.0209596107996287,0.02065442270113
1.26326530612245,0.0345537592444038,0.0206221273024383,0.0203190547937676
1.27034693877551,0.0348919057166901,0.0202524164605398,0.0199520098744633
1.27742857142857,0.0352293234789865,0.019847989881307,0.0195508529845768
1.28451020408163,0.0355659377075113,0.0194060112866432,0.0191128082178311
1.29159183673469,0.0359016760306711,0.0189232079305442,0.0186346716187108
1.29867346938776,0.0362364688071539,0.0183957399915012,0.0181126827752938
1.30575510204082,0.0365702493513413,0.0178189963886994,0.0175423240887883
1.31283673469388,0.0369029541040633,0.0171872524755079,0.0169179842584815
1.31991836734694,0.0372345227480298,0.0164930446119427,0.0162323434125414
1.327,0.037564898268497,0.0157258910955057,0.0154751155511032
1.49,0.0389815562931249,0,0
1.50979591836735,0.0398834893925515,0,0
1.52959183673469,0.0407975672300142,0,0
1.54938775510204,0.0417240466220865,0,0
1.56918367346939,0.0426631698494313,0,0
1.58897959183673,0.0436151616831144,0,0
1.60877551020408,0.0445802253362212,0,0
1.62857142857143,0.0455585378230791,0,0
1.64836734693878,0.046550245265544,0,0
1.66816326530612,0.0475554586187334,0,0
1.68795918367347,0.0485742501410762,0,0
1.70775510204082,0.0496066507547107,0,0
1.72755102040816,0.0506526482743512,0,0
1.74734693877551,0.0517121863545304,0,0
1.76714285714286,0.0527851639302307,0,0
1.7869387755102,0.0538714349047393,0,0
1.80673469387755,0.0549708078620969,0,0
1.8265306122449,0.0560830456356617,0,0
1.84632653061224,0.0572078646337468,0,0
1.86612244897959,0.0583449338942357,0,0
1.88591836734694,0.0594938739020451,0,0
1.90571428571429,0.0606542552496962,0,0
1.92551020408163,0.0618255972492466,0,0
1.94530612244898,0.0630073666137321,0,0
1.96510204081633,0.0641989763205984,0,0
1.98489795918367,0.0653997847521985,0,0
2.00469387755102,0.0666090951836332,0,0
2.02448979591837,0.0678261556601633,0,0
2.04428571428571,0.0690501592787097,0,0
2.06408163265306,0.0702802448633015,0,0
2.08387755102041,0.0715154980045384,0,0
2.10367346938776,0.0727549524191366,0,0
2.1234693877551,0.0739975915775946,0,0
2.14326530612245,0.0752423505455345,0,0
2.1630612244898,0.0764881179865229,0,0
2.18285714285714,0.077733738280087,0,0
2.20265306122449,0.0789780137170851,0,0
2.22244897959184,0.0802197067444179,0,0
2.24224489795918,0.0814575422413139,0,0
2.26204081632653,0.0826902098192195,0,0
2.28183673469388,0.0839163661460537,0,0
2.30163265306122,0.0851346373028103,0,0
2.32142857142857,0.0863436211859453,0,0
2.34122448979592,0.087541889972608,0,0
2.36102040816327,0.0887279926675967,0,0
2.38081632653061,0.0899004577511066,0,0
2.40061224489796,0.0910577959451227,0,0
2.42040816326531,0.0921985031139429,0,0
2.44020408163265,0.0933210633111106,0,0
2.46,0.094423951981254,0,0
