StarName,RA,Dec,Distance,Flux Ratio,AngSep,ProjAU,Phase,SMA,Ecc,Inc,PlanetMass,PlanetRadius,PlanetLogg,StarSpT,StarMass,StarTeff,StarRad,StarLogg,StarBMag,StarVmag,StarRmag,StarImag,StarJmag,StarHmag,StarKmag
HIP 57,0.16828599572181702,-69.6758041381836,29.87,5.525744199198542e-10,17.518855064508195,0.7925405540199235,0.7211739256542735,0.8453493957156881,0.46378464122781193,49.29120510230583,0.19451646500275466,0.9354909669782601,2.3380322536935303,K2V,0.9342859472412568,5050.64469616304,0.8192143935707238,4.581752295422535,9.120000000000001,8.24,0.0,0.0,6.773,6.341,6.23
HIP 57,0.16828599572181702,-69.6758041381836,29.87,1.5557110208761038e-10,84.07786831940433,2.5134392120505087,1.6110225495631945,3.5265887376022476,0.3155806763321179,17.224144872775614,5.850416022775885,1.8655946135147239,3.2167072734928324,K2V,0.9342859472412568,5050.64469616304,0.8192143935707238,4.581752295422535,9.120000000000001,8.24,0.0,0.0,6.773,6.341,6.23
HIP 57,0.16828599572181702,-69.6758041381836,29.87,1.66610874728601e-10,13.331382183401562,0.4463028900363591,2.0393154642630957,0.5632341452835815,0.21524992746587654,110.52624042803986,0.09692627324539299,0.7141566114356432,2.2700096744487492,K2V,0.9342859472412568,5050.64469616304,0.8192143935707238,4.581752295422535,9.120000000000001,8.24,0.0,0.0,6.773,6.341,6.23
HIP 57,0.16828599572181702,-69.6758041381836,29.87,1.90309253059906e-09,18.984364149357372,2.073459938292894,0.27701568908440244,1.8740861443869694,0.22418021638334765,99.34246726801419,10.79563512940733,2.5156817233126785,3.2230918906553816,K2V,0.9342859472412568,5050.64469616304,0.8192143935707238,4.581752295422535,9.120000000000001,8.24,0.0,0.0,6.773,6.341,6.23
HIP 57,0.16828599572181702,-69.6758041381836,29.87,1.2282097894688655e-10,135.5902156913324,4.6951870747755695,1.040391649580457,3.6155955887880697,0.741654441467525,64.97568286141419,3.169344579492042,1.7607955041059153,3.0007067000601357,K2V,0.9342859472412568,5050.64469616304,0.8192143935707238,4.581752295422535,9.120000000000001,8.24,0.0,0.0,6.773,6.341,6.23
HIP 263,0.8292379975318909,4.687136173248291,29.21,2.7162909649754585e-10,15.322662155039167,0.6826797514335995,2.4265960940625217,0.5037456743735251,0.4724709393332659,84.93662661953296,14.972108482350501,2.996685363509045,3.213155753829455,M1,0.56444160727621,3839.195017835037,0.24093905210837854,5.425872252315539,13.51,12.04,0.0,0.0,8.833,8.183,7.9799999999999995
HIP 400,1.2336599826812744,23.2696475982666,26.39,1.1567263056059709e-08,56.612938791414884,1.506263014530399,1.6984061450757764,1.4196583051214196,0.17291608771419414,136.51610225017782,188.12597494100808,9.787902292670164,3.2842245948358464,G9V,0.9677293732263355,5372.794136511371,0.7796415502055799,4.640031597883021,8.58,7.81,0.0,0.0,6.398,6.027,5.93
HIP 400,1.2336599826812744,23.2696475982666,26.39,6.103339061622722e-10,31.71039296830074,2.514192651206924,0.3393193459182813,2.6595302177395546,0.06424806408278681,105.67257535664274,9.570847066538358,1.6503051115893101,3.5369769689377577,G9V,0.9677293732263355,5372.794136511371,0.7796415502055799,4.640031597883021,8.58,7.81,0.0,0.0,6.398,6.027,5.93
HIP 400,1.2336599826812744,23.2696475982666,26.39,3.5689821166665826e-10,91.27065489292853,2.643777974270324,1.1458407720549755,1.7781808494717708,0.4949471601235101,90.30641779133714,3.9627852994333126,2.0411779065783233,2.969393907314665,G9V,0.9677293732263355,5372.794136511371,0.7796415502055799,4.640031597883021,8.58,7.81,0.0,0.0,6.398,6.027,5.93
HIP 400,1.2336599826812744,23.2696475982666,26.39,3.109010312881588e-10,112.79597833370678,3.55172368573251,0.9937838114621237,3.3254643026649067,0.08145908941054174,95.08105354718134,5.070292421201568,2.3284213819387167,2.9620649317411916,G9V,0.9677293732263355,5372.794136511371,0.7796415502055799,4.640031597883021,8.58,7.81,0.0,0.0,6.398,6.027,5.93
HIP 400,1.2336599826812744,23.2696475982666,26.39,6.003064618104938e-10,52.8852766544416,1.4362656022749556,1.3323924020476203,1.8248410315056172,0.45535160379730577,105.3919620717781,3.084494055174004,1.6013211010220332,3.0713821665198577,G9V,0.9677293732263355,5372.794136511371,0.7796415502055799,4.640031597883021,8.58,7.81,0.0,0.0,6.398,6.027,5.93
HIP 400,1.2336599826812744,23.2696475982666,26.39,9.56082749448854e-10,12.054727480641692,0.42519004169303165,2.2962581261404664,0.47905411454715807,0.17491636542389732,102.37687325814764,33.040492949708664,3.3230034909665522,3.4671400050910606,G9V,0.9677293732263355,5372.794136511371,0.7796415502055799,4.640031597883021,8.58,7.81,0.0,0.0,6.398,6.027,5.93
HIP 400,1.2336599826812744,23.2696475982666,26.39,1.2005218738490884e-10,23.02329481031763,1.0406238026046801,2.5181102350181757,1.2353171775366734,0.27992920086170714,68.18229899969015,11.643600141760256,2.94060899288504,3.1203678025864745,G9V,0.9677293732263355,5372.794136511371,0.7796415502055799,4.640031597883021,8.58,7.81,0.0,0.0,6.398,6.027,5.93
HIP 428,1.2923359870910645,45.78693389892578,11.25,4.6309760743330776e-10,241.82844742262878,2.7413940776422203,1.4474611109268427,2.6414100312755187,0.30577766164128045,165.6921124223478,16.95810765776368,2.785109992192947,3.3308477671646552,M2,0.5400369819081284,3839.195017835037,0.24295629879403066,5.39943480296961,11.42,9.95,0.0,0.0,6.704,6.098,5.85
HIP 428,1.2923359870910645,45.78693389892578,11.25,4.546472778723117e-10,94.84326905667993,1.1452212501184567,1.1990272169038318,1.178765538290635,0.32281746684184565,153.7266671571307,4.642176072108588,1.4162579261850528,3.355591983781586,M2,0.5400369819081284,3839.195017835037,0.24295629879403066,5.39943480296961,11.42,9.95,0.0,0.0,6.704,6.098,5.85
HIP 428,1.2923359870910645,45.78693389892578,11.25,1.0616650179165478e-10,73.86287501196297,0.8373565851285862,1.6945052389783983,0.699606685755486,0.29546844755838975,153.27477658598943,1.5286038047726218,1.0540018318136763,3.1297672868643476,M2,0.5400369819081284,3839.195017835037,0.24295629879403066,5.39943480296961,11.42,9.95,0.0,0.0,6.704,6.098,5.85
HIP 436,1.3244529962539673,-67.83123016357422,15.89,2.9724364476807143e-10,43.2109742860463,0.9932279511662039,2.378300574148091,1.309360800857738,0.24175624112040955,60.529141591738444,10.685118478310272,2.8698151787185795,3.104226567443611,K5V,0.6612576625736333,4558.520175773521,0.47679547128801253,4.901774101479623,9.57,8.49,0.0,0.0,6.44,5.885,5.710000000000001
HIP 439,1.334555983543396,-37.351680755615234,4.34,4.1339265227915114e-10,55.08872851548125,0.35355529365916927,2.398958118836698,0.26438442992068434,0.5470698111636743,89.91178774965356,3.5179657038342427,2.205686392582886,2.85035915536948,M1.5V,0.46119773303276096,3854.6800562527155,0.1763473926812376,5.609216705300806,10.02,8.56,0.0,0.0,5.328,4.828,4.5200000000000005
HIP 439,1.334555983543396,-37.351680755615234,4.34,7.008261171798161e-09,261.9920407837854,1.1377690328937502,1.535130441464883,1.3384546056824786,0.1537720476603013,169.15973868622712,61.60895500942751,6.346630324174394,3.1757125195577833,M1.5V,0.46119773303276096,3854.6800562527155,0.1763473926812376,5.609216705300806,10.02,8.56,0.0,0.0,5.328,4.828,4.5200000000000005
HIP 523,1.578760027885437,-65.83919525146484,16.71,1.4448957108405143e-10,28.006497941897607,0.9317039773012078,0.5262487755976182,0.6512153020088929,0.5147506775070413,61.719329685699904,0.13735255544359753,0.6943684340409633,2.445811886621591,M4,0.47061795064698086,3677.014628784035,0.14152778888049167,5.809052672340025,13.75,12.17,0.0,0.0,8.479,7.839,7.63
HIP 523,1.578760027885437,-65.83919525146484,16.71,7.991195306933889e-09,58.0396480695973,1.0867077824580775,1.1027676671231326,0.7475458417879702,0.5030417633890596,42.858652382282585,27.774028292905303,7.956481124399472,2.6333518819061505,M4,0.47061795064698086,3677.014628784035,0.14152778888049167,5.809052672340025,13.75,12.17,0.0,0.0,8.479,7.839,7.63
HIP 669,2.068208932876587,-14.82446575164795,27.44,1.509625329585571e-10,23.939461820030402,1.9512735183872851,2.798234273879701,2.9710245150716097,0.6841947661201947,94.11673904117553,197.6304433215119,9.589254204567967,3.3234392635485492,G2/3V,1.0526915253757483,5890.322012321262,0.9659663977314273,4.490444715517338,7.65,7.03,0.0,0.0,5.947,5.628,5.550000000000001
HIP 669,2.068208932876587,-14.82446575164795,27.44,1.8405254070774697e-10,211.51592323265075,6.209863886193084,1.9343429106412353,4.8041559013057205,0.5565191222321636,85.92277988950096,58.189362995544926,6.541962643124957,3.1245825652695447,G2/3V,1.0526915253757483,5890.322012321262,0.9659663977314273,4.490444715517338,7.65,7.03,0.0,0.0,5.947,5.628,5.550000000000001
HIP 669,2.068208932876587,-14.82446575164795,27.44,6.087884428656051e-10,172.878938391669,5.133894267313671,1.9631398584635154,9.211304094464259,0.45200191648896726,118.34934766523943,748.6349115607325,14.570263025604726,3.5384903742967717,G2/3V,1.0526915253757483,5890.322012321262,0.9659663977314273,4.490444715517338,7.65,7.03,0.0,0.0,5.947,5.628,5.550000000000001
HIP 669,2.068208932876587,-14.82446575164795,27.44,2.863533688830867e-10,198.64374197020328,14.179742621933082,0.3945647659284032,13.504994655119805,0.08434991814643311,74.43592707098186,119.52343252380652,10.210642987184764,3.050501955962002,G2/3V,1.0526915253757483,5890.322012321262,0.9659663977314273,4.490444715517338,7.65,7.03,0.0,0.0,5.947,5.628,5.550000000000001
HIP 687,2.113900899887085,17.424453735351562,21.75,1.0824410342629945e-10,82.19518804204638,2.2788400091466405,0.9018861427056725,3.1660375964956486,0.3386115294237375,140.6955732515659,0.6593463398339605,0.8178001199758634,2.9849743417708137,M0,0.5768993250378983,3823.8388417760084,0.3260739374055257,5.172535482754749,12.24,10.76,0.0,0.0,7.807,7.165,7.01
HIP 687,2.113900899887085,17.424453735351562,21.75,1.9521423150662143e-10,66.54271836942634,1.7432009218963118,0.9795679492443198,2.301304224590315,0.24656923227713481,144.49385679392392,0.2176460928337619,0.8317397339182678,2.4889310588626645,M0,0.5768993250378983,3823.8388417760084,0.3260739374055257,5.172535482754749,12.24,10.76,0.0,0.0,7.807,7.165,7.01
HIP 738,2.2662689685821533,-27.122352600097656,23.45,1.8779479795425644e-10,49.457738633756804,1.2066051439988883,1.8502874514708534,0.7464443882902632,0.675116839659833,16.310183126389656,6.06972070738473,2.2874973444914426,3.0556025926841537,,0.49767058192256675,3778.5271011150085,0.23678476239769614,5.386302094631885,13.18,11.67,0.0,0.0,8.655,8.143,7.8
HIP 738,2.2662689685821533,-27.122352600097656,23.45,5.335215144622084e-10,95.57238279382285,2.262065592915129,1.43477722765048,2.182345874228635,0.083638792238973,143.2699606109391,7.6126911460761875,2.405558233512307,3.1102615429363705,,0.49767058192256675,3778.5271011150085,0.23678476239769614,5.386302094631885,13.18,11.67,0.0,0.0,8.655,8.143,7.8
HIP 738,2.2662689685821533,-27.122352600097656,23.45,1.0987045184923939e-09,13.321773827365103,0.5190971472252546,0.6457600871942505,0.5126335994379173,0.30995946846715255,86.34687938892671,0.5408089605303513,1.1655678958398232,2.591123807052952,,0.49767058192256675,3778.5271011150085,0.23678476239769614,5.386302094631885,13.18,11.67,0.0,0.0,8.655,8.143,7.8
HIP 738,2.2662689685821533,-27.122352600097656,23.45,1.9613653074656176e-10,53.73832638196632,1.805366701675084,2.3689781221297044,1.3107105036431013,0.3846291651914123,125.97800042531294,72.85012138422698,4.606021095979411,3.5269335162179796,,0.49767058192256675,3778.5271011150085,0.23678476239769614,5.386302094631885,13.18,11.67,0.0,0.0,8.655,8.143,7.8
HIP 738,2.2662689685821533,-27.122352600097656,23.45,1.3979820012449986e-09,32.47329145635861,1.1336244308558965,0.7365525383273728,1.004263029539531,0.3746157846845456,131.03569694000595,11.681081805522167,1.945825072518331,3.480430557170087,,0.49767058192256675,3778.5271011150085,0.23678476239769614,5.386302094631885,13.18,11.67,0.0,0.0,8.655,8.143,7.8
HIP 738,2.2662689685821533,-27.122352600097656,23.45,4.270898779517158e-09,78.3822887362057,2.174834175646322,2.1347438593518326,2.2312316598857347,0.30194680597589046,32.648054483220996,1086.243567648631,11.669367990479786,3.8929876288432066,,0.49767058192256675,3778.5271011150085,0.23678476239769614,5.386302094631885,13.18,11.67,0.0,0.0,8.655,8.143,7.8
HIP 746,2.2920401096343994,59.15021896362305,16.78,1.298943507193355e-10,154.91015123229434,2.6035637984021616,1.6274115168074705,3.720754602683385,0.3046227572072219,106.5515030720377,5.758071309501394,1.8849814662864266,3.200817952062039,F2III-IV,2.2747810127009456,7100.667766194713,3.6563651245029543,3.6689081061787854,2.6199999999999997,2.26,0.0,0.0,1.714,1.585,1.4799999999999998
HIP 746,2.2920401096343994,59.15021896362305,16.78,3.573796580350195e-10,9.039071453470857,0.24545390561047106,2.4754736386867693,0.26628268280053746,0.20952548775211635,83.14925708187587,9.89946129088622,1.3995197970264897,3.694808551363736,F2III-IV,2.2747810127009456,7100.667766194713,3.6563651245029543,3.6689081061787854,2.6199999999999997,2.26,0.0,0.0,1.714,1.585,1.4799999999999998
