#sep[lam/D]  Contrast:   X          Y             Diag.
106 2.63955e-06 2.63955e-06 7.39638e-07
107 2.55004e-06 2.55004e-06 7.1454e-07
108 2.46435e-06 2.46435e-06 6.9051e-07
109 2.38228e-06 2.38228e-06 6.67493e-07
110 2.30366e-06 2.30366e-06 6.45437e-07
111 2.22829e-06 2.22829e-06 6.24292e-07
112 2.15603e-06 2.15603e-06 6.04014e-07
113 2.0867e-06 2.0867e-06 5.84557e-07
114 2.02018e-06 2.02018e-06 5.65881e-07
115 1.95631e-06 1.95631e-06 5.47947e-07
116 1.89498e-06 1.89498e-06 5.30718e-07
117 1.83604e-06 1.83604e-06 5.14157e-07
118 1.7794e-06 1.7794e-06 4.98234e-07
119 1.72492e-06 1.72492e-06 4.82914e-07
120 1.67252e-06 1.67252e-06 4.68168e-07
121 1.62209e-06 1.62209e-06 4.53967e-07
122 1.57352e-06 1.57352e-06 4.40278e-07
123 1.52673e-06 1.52673e-06 4.27077e-07
124 1.48161e-06 1.48161e-06 4.14337e-07
125 1.43808e-06 1.43808e-06 4.02017e-07
126 1.39605e-06 1.39605e-06 3.90099e-07
127 1.35541e-06 1.35541e-06 3.78545e-07
128 1.31603e-06 1.31603e-06 3.67305e-07
129 1.27778e-06 1.27778e-06 3.5633e-07
130 1.24046e-06 1.24046e-06 3.45514e-07
131 1.20376e-06 1.20376e-06 3.34774e-07
132 1.16711e-06 1.16711e-06 3.23796e-07
133 1.12919e-06 1.12919e-06 3.1201e-07
134 1.08577e-06 1.08577e-06 2.97886e-07
