0,4.8469e-10
0.0091536,1.2888e-07
0.018307,2.858e-07
0.027461,4.7122e-07
0.036614,6.8515e-07
0.045768,1.6608e-06
0.054922,3.1857e-06
0.064075,5.041e-06
0.073229,7.1896e-06
0.082382,1.1446e-05
0.091536,1.7341e-05
0.10069,2.4321e-05
0.10984,3.2205e-05
0.119,4.415e-05
0.12815,5.9385e-05
0.1373,7.6866e-05
0.14646,9.6232e-05
0.15561,0.00012214
0.16476,0.00015344
0.17392,0.00018853
0.18307,0.00022684
0.19223,0.00027457
0.20138,0.00033017
0.21053,0.00039144
0.21969,0.00045753
0.22884,0.00053624
0.23799,0.00062555
0.24715,0.0007227
0.2563,0.00082646
0.26545,0.00094619
0.27461,0.0010795
0.28376,0.0012228
0.29292,0.0013748
0.30207,0.0015461
0.31122,0.001734
0.32038,0.0019343
0.32953,0.0021453
0.33868,0.0023789
0.34784,0.0026319
0.35699,0.0028995
0.36614,0.0031801
0.3753,0.0034862
0.38445,0.0038144
0.3936,0.0041595
0.40276,0.0045192
0.41191,0.0049074
0.42107,0.0053198
0.43022,0.0057511
0.43937,0.006199
0.44853,0.006677
0.45768,0.0071816
0.46683,0.0077066
0.47599,0.0082495
0.48514,0.008824
0.49429,0.0094271
0.50345,0.010051
0.5126,0.010694
0.52176,0.01137
0.53091,0.012075
0.54006,0.012802
0.54922,0.013548
0.55837,0.014328
0.56752,0.015136
0.57668,0.015967
0.58583,0.016816
0.59498,0.017699
0.60414,0.018609
0.61329,0.019542
0.62244,0.020494
0.6316,0.021477
0.64075,0.022486
0.64991,0.023517
0.65906,0.024565
0.66821,0.025642
0.67737,0.026744
0.68652,0.027865
0.69567,0.029003
0.70483,0.030166
0.71398,0.031351
0.72313,0.032554
0.73229,0.033771
0.74144,0.035009
0.75059,0.036265
0.75975,0.037537
0.7689,0.03882
0.77806,0.04012
0.78721,0.041434
0.79636,0.04276
0.80552,0.044094
0.81467,0.04544
0.82382,0.046797
0.83298,0.04816
0.84213,0.049528
0.85128,0.050903
0.86044,0.052283
0.86959,0.053666
0.87875,0.055051
0.8879,0.056436
0.89705,0.05782
0.90621,0.059204
0.91536,0.060584
0.92451,0.06196
0.93367,0.063329
0.94282,0.064693
0.95197,0.066049
0.96113,0.067394
0.97028,0.068728
0.97943,0.070051
0.98859,0.071363
0.99774,0.072658
1.0069,0.073936
1.016,0.075198
1.0252,0.076446
1.0344,0.07767
1.0435,0.078872
1.0527,0.080054
1.0618,0.081217
1.071,0.082353
1.0801,0.083461
1.0893,0.084545
1.0984,0.085607
1.1076,0.086634
1.1167,0.08763
1.1259,0.088598
1.135,0.089541
1.1442,0.090445
1.1534,0.091315
1.1625,0.092153
1.1717,0.092963
1.1808,0.093731
1.19,0.094459
1.1991,0.095154
1.2083,0.095819
1.2174,0.096438
1.2266,0.097016
1.2357,0.097559
1.2449,0.098069
1.254,0.098532
1.2632,0.098951
1.2723,0.099334
1.2815,0.099683
1.2907,0.099982
1.2998,0.10024
1.309,0.10046
1.3181,0.10064
1.3273,0.10077
1.3364,0.10086
1.3456,0.10092
1.3547,0.10093
1.3639,0.1009
1.373,0.10083
1.3822,0.10072
1.3913,0.10057
1.4005,0.10038
1.4097,0.10014
1.4188,0.09987
1.428,0.099567
1.4371,0.099216
1.4463,0.098826
1.4554,0.098403
1.4646,0.097946
1.4737,0.097448
1.4829,0.096913
1.492,0.096344
1.5012,0.095748
1.5103,0.095113
1.5195,0.094441
1.5287,0.093742
1.5378,0.093016
1.547,0.092255
1.5561,0.091463
1.5653,0.090645
1.5744,0.089803
1.5836,0.088932
1.5927,0.088033
1.6019,0.087112
1.611,0.086169
1.6202,0.085202
1.6293,0.084213
1.6385,0.083203
1.6476,0.082178
1.6568,0.081131
1.666,0.080066
1.6751,0.078987
1.6843,0.077894
1.6934,0.076784
1.7026,0.075662
1.7117,0.074527
1.7209,0.073385
1.73,0.07223
1.7392,0.071066
1.7483,0.069895
1.7575,0.068718
1.7666,0.067535
1.7758,0.066347
1.785,0.065155
1.7941,0.063961
1.8033,0.062765
1.8124,0.061568
1.8216,0.060371
1.8307,0.059175
1.8399,0.057982
1.849,0.056791
1.8582,0.055603
1.8673,0.05442
1.8765,0.053242
1.8856,0.052071
1.8948,0.050907
1.9039,0.049749
1.9131,0.0486
1.9223,0.047461
1.9314,0.046331
1.9406,0.04521
1.9497,0.044101
1.9589,0.043005
1.968,0.04192
1.9772,0.040846
1.9863,0.039786
1.9955,0.038742
2.0046,0.037709
2.0138,0.03669
2.0229,0.035688
2.0321,0.034701
2.0413,0.033729
2.0504,0.032771
2.0596,0.031832
2.0687,0.030909
2.0779,0.030002
2.087,0.029111
2.0962,0.028237
2.1053,0.027384
2.1145,0.026545
2.1236,0.025722
2.1328,0.024918
2.1419,0.024133
2.1511,0.023365
2.1602,0.022612
2.1694,0.021879
2.1786,0.021165
2.1877,0.020467
2.1969,0.019785
2.206,0.019122
2.2152,0.018478
2.2243,0.01785
2.2335,0.017237
2.2426,0.016643
2.2518,0.016068
2.2609,0.015507
2.2701,0.014961
2.2792,0.014433
2.2884,0.013923
2.2976,0.013427
2.3067,0.012945
2.3159,0.012481
2.325,0.012031
2.3342,0.011597
2.3433,0.011174
2.3525,0.010768
2.3616,0.010377
2.3708,0.0099993
2.3799,0.0096333
2.3891,0.0092814
2.3982,0.0089438
2.4074,0.0086173
2.4165,0.0083017
2.4257,0.0079993
2.4349,0.0077107
2.444,0.0074318
2.4532,0.0071632
2.4623,0.0069063
2.4715,0.0066605
2.4806,0.0064243
