B0	-0.31
B1	-0.3
B2	-0.29
B3	-0.27
B4	-0.25
B5	-0.24
B6	-0.21
B7	-0.19
B8	-0.16
B9	-0.1
A0	-0.04
A1	-0.02
A2	0.0
A3	0.02
A4	0.05
A5	0.09
A6	0.12
A7	0.15
A8	0.2
A9	0.24
F0	0.28
F1	0.31
F2	0.35
F5	0.44
F8	0.5
G0	0.54
G2	0.58
G3	0.59
G5	0.61
G8	0.66
K0	0.75
K1	0.82
K2	0.89
K3	0.97
K4	1.04
K5	1.2
K7	1.45
M0	1.67
M1	1.84
M2	2.06
M3	2.24
M4	2.43
