Age	M/Ms	Teff	L/Ls	g	R
0.5	0.7	4211	-0.91	4.64	46.15
0.5	0.75	4418	-0.77	4.61	49.26
0.5	0.8	4600	-0.64	4.58	52.82
0.5	0.85	4773	-0.52	4.54	56.72
0.5	0.9	4951	-0.39	4.51	60.58
0.5	0.95	5130	-0.28	4.48	64.6
0.5	1	5294	-0.17	4.45	68.91
0.5	1.05	5446	-0.06	4.41	73.68
0.5	1.1	5595	0.04	4.37	78.7
0.5	1.15	5745	0.14	4.34	83.54
0.5	1.2	5909	0.24	4.31	88.35
0.6	0.0005	133	-8.52	3.1	7.24
0.6	0.001	191	-7.86	3.37	7.52
0.6	0.002	260	-7.3	3.65	7.75
0.6	0.003	304	-7.02	3.81	7.84
0.6	0.004	352	-6.76	3.93	7.86
0.6	0.005	389	-6.59	4.03	7.83
0.6	0.006	429	-6.42	4.12	7.79
0.6	0.007	463	-6.3	4.19	7.73
0.6	0.008	499	-6.18	4.26	7.68
0.6	0.009	537	-6.05	4.31	7.62
0.6	0.01	572	-5.95	4.36	7.57
0.6	0.012	714	-5.56	4.44	7.59
0.6	0.015	754	-5.5	4.57	7.36
0.6	0.02	891	-5.23	4.71	7.18
0.6	0.03	1182	-4.77	4.92	6.93
0.6	0.04	1498	-4.37	5.06	6.81
0.6	0.05	1783	-4.07	5.15	6.81
0.6	0.06	2038	-3.82	5.22	6.91
0.6	0.07	2261	-3.62	5.26	7.11
0.6	0.072	2309	-3.57	5.27	7.19
0.6	0.075	2375	-3.51	5.27	7.31
0.6	0.08	2473	-3.41	5.28	7.5
0.6	0.09	2659	-3.22	5.26	8.11
0.6	0.1	2794	-3.07	5.24	8.78
0.6	0.11	2922	-2.93	5.21	9.44
0.6	0.13	3054	-2.73	5.17	10.81
0.6	0.15	3149	-2.58	5.13	12.09
0.6	0.175	3234	-2.43	5.1	13.59
0.6	0.2	3290	-2.32	5.07	15.02
0.6	0.25	3373	-2.13	5.03	17.67
0.6	0.3	3437	-1.99	4.99	20.12
0.6	0.35	3477	-1.85	4.95	22.9
0.6	0.4	3525	-1.73	4.91	25.59
0.6	0.45	3585	-1.61	4.86	28.57
0.6	0.5	3651	-1.48	4.81	31.94
0.6	0.57	3798	-1.28	4.74	36.94
0.6	0.6	3885	-1.2	4.72	39.06
0.6	0.62	3949	-1.14	4.7	40.45
0.6	0.7	4210	-0.91	4.64	46.21
0.6	0.75	4417	-0.77	4.61	49.35
0.6	0.8	4600	-0.64	4.58	52.89
0.6	0.85	4774	-0.51	4.54	56.78
0.6	0.9	4952	-0.39	4.51	60.71
0.6	0.95	5131	-0.28	4.48	64.72
0.6	1	5297	-0.16	4.44	69.05
0.6	1.05	5448	-0.06	4.41	73.91
0.6	1.1	5596	0.05	4.37	78.97
0.6	1.15	5746	0.15	4.34	83.86
0.6	1.2	5912	0.25	4.31	88.79
0.7	0.0005	127	-8.61	3.11	7.21
0.7	0.001	181	-7.96	3.38	7.47
0.7	0.002	251	-7.37	3.65	7.71
0.7	0.003	292	-7.09	3.82	7.8
0.7	0.004	338	-6.84	3.94	7.82
0.7	0.005	375	-6.66	4.04	7.79
0.7	0.006	409	-6.51	4.12	7.74
0.7	0.007	448	-6.36	4.2	7.69
0.7	0.008	479	-6.25	4.26	7.63
0.7	0.009	510	-6.15	4.32	7.57
0.7	0.01	545	-6.04	4.37	7.52
0.7	0.012	665	-5.7	4.45	7.51
0.7	0.015	715	-5.59	4.57	7.3
0.7	0.02	854	-5.31	4.72	7.11
0.7	0.03	1126	-4.86	4.93	6.85
0.7	0.04	1429	-4.47	5.07	6.7
0.7	0.05	1708	-4.16	5.17	6.66
0.7	0.06	1968	-3.91	5.24	6.73
0.7	0.07	2207	-3.68	5.29	6.93
0.7	0.072	2256	-3.63	5.29	7
0.7	0.075	2331	-3.56	5.29	7.13
0.7	0.08	2446	-3.45	5.29	7.38
0.7	0.09	2644	-3.24	5.27	8
0.7	0.1	2789	-3.08	5.24	8.72
0.7	0.11	2921	-2.93	5.22	9.4
0.7	0.13	3054	-2.73	5.17	10.81
0.7	0.15	3149	-2.58	5.13	12.09
0.7	0.175	3234	-2.43	5.1	13.59
0.7	0.2	3290	-2.32	5.07	15.02
0.7	0.25	3373	-2.13	5.03	17.67
0.7	0.3	3437	-1.99	4.99	20.13
0.7	0.35	3477	-1.85	4.94	22.96
0.7	0.4	3524	-1.73	4.91	25.67
0.7	0.45	3584	-1.61	4.86	28.62
0.7	0.5	3650	-1.48	4.81	31.98
0.7	0.57	3798	-1.28	4.74	36.97
0.7	0.6	3885	-1.2	4.72	39.09
0.7	0.62	3948	-1.14	4.7	40.49
0.7	0.7	4209	-0.91	4.64	46.26
0.7	0.75	4417	-0.77	4.61	49.4
0.7	0.8	4600	-0.64	4.58	52.95
0.7	0.85	4774	-0.51	4.54	56.91
0.7	0.9	4953	-0.39	4.51	60.79
0.7	0.95	5132	-0.27	4.48	64.85
0.7	1	5298	-0.16	4.44	69.22
0.7	1.05	5449	-0.05	4.4	74.13
0.7	1.1	5598	0.05	4.37	79.23
0.7	1.15	5749	0.15	4.33	84.28
0.7	1.2	5916	0.25	4.3	89.21
0.7	1.4	6592	0.58	4.23	104.77
0.8	0.0005	120	-8.72	3.11	7.17
0.8	0.001	173	-8.04	3.38	7.44
0.8	0.002	241	-7.44	3.65	7.66
0.8	0.003	285	-7.14	3.82	7.76
0.8	0.004	324	-6.92	3.94	7.77
0.8	0.005	365	-6.71	4.04	7.76
0.8	0.006	396	-6.57	4.13	7.71
0.8	0.007	429	-6.44	4.2	7.64
0.8	0.008	464	-6.31	4.27	7.59
0.8	0.009	493	-6.21	4.32	7.53
0.8	0.01	525	-6.11	4.37	7.48
0.8	0.012	633	-5.79	4.46	7.46
0.8	0.015	686	-5.67	4.58	7.25
0.8	0.02	816	-5.4	4.73	7.05
0.8	0.03	1078	-4.94	4.94	6.79
0.8	0.04	1365	-4.56	5.08	6.62
0.8	0.05	1648	-4.24	5.19	6.56
0.8	0.06	1908	-3.98	5.26	6.59
0.8	0.07	2161	-3.74	5.3	6.78
0.8	0.072	2218	-3.68	5.31	6.87
0.8	0.075	2294	-3.61	5.31	6.99
0.8	0.08	2420	-3.48	5.3	7.26
0.8	0.09	2636	-3.25	5.28	7.94
0.8	0.1	2786	-3.08	5.24	8.7
0.8	0.11	2920	-2.93	5.22	9.4
0.8	0.13	3054	-2.73	5.17	10.8
0.8	0.15	3149	-2.58	5.13	12.09
0.8	0.175	3234	-2.43	5.1	13.59
0.8	0.2	3290	-2.32	5.07	15.02
0.8	0.25	3373	-2.13	5.03	17.67
0.8	0.3	3437	-1.99	4.99	20.14
0.8	0.35	3481	-1.86	4.96	22.61
0.8	0.4	3523	-1.73	4.9	25.72
0.8	0.45	3583	-1.61	4.86	28.66
0.8	0.5	3650	-1.48	4.81	32
0.8	0.57	3798	-1.28	4.74	37.01
0.8	0.6	3884	-1.2	4.72	39.13
0.8	0.62	3947	-1.14	4.7	40.53
0.8	0.7	4209	-0.91	4.64	46.3
0.8	0.75	4417	-0.77	4.61	49.45
0.8	0.8	4602	-0.64	4.58	53.02
0.8	0.85	4775	-0.51	4.54	56.97
0.8	0.9	4955	-0.39	4.51	60.89
0.8	0.95	5133	-0.27	4.47	64.98
0.8	1	5300	-0.16	4.44	69.36
0.8	1.05	5453	-0.05	4.4	74.37
0.8	1.1	5600	0.06	4.36	79.48
0.8	1.15	5750	0.16	4.33	84.61
0.8	1.2	5920	0.26	4.3	89.72
0.8	1.4	6580	0.59	4.22	106.13
0.9	0.0005	115	-8.79	3.11	7.15
0.9	0.001	166	-8.12	3.38	7.41
0.9	0.002	234	-7.5	3.66	7.63
0.9	0.003	277	-7.19	3.82	7.73
0.9	0.004	314	-6.98	3.95	7.74
0.9	0.005	354	-6.76	4.05	7.72
0.9	0.006	386	-6.62	4.13	7.67
0.9	0.007	415	-6.5	4.2	7.61
0.9	0.008	451	-6.37	4.27	7.56
0.9	0.009	480	-6.26	4.33	7.5
0.9	0.01	508	-6.17	4.38	7.45
0.9	0.012	603	-5.88	4.46	7.42
0.9	0.015	659	-5.75	4.58	7.21
0.9	0.02	789	-5.46	4.73	7.01
0.9	0.03	1039	-5.02	4.94	6.74
0.9	0.04	1309	-4.64	5.09	6.55
0.9	0.05	1596	-4.3	5.2	6.47
0.9	0.06	1851	-4.05	5.28	6.48
0.9	0.07	2121	-3.78	5.32	6.67
0.9	0.072	2179	-3.73	5.32	6.75
0.9	0.075	2264	-3.64	5.32	6.89
0.9	0.08	2397	-3.51	5.32	7.16
0.9	0.09	2630	-3.26	5.28	7.9
0.9	0.1	2785	-3.08	5.25	8.68
0.9	0.11	2919	-2.93	5.22	9.39
0.9	0.13	3054	-2.73	5.17	10.8
0.9	0.15	3149	-2.58	5.13	12.09
0.9	0.175	3234	-2.43	5.1	13.59
0.9	0.2	3290	-2.32	5.07	15.02
0.9	0.25	3373	-2.13	5.03	17.68
0.9	0.3	3437	-1.99	4.99	20.15
0.9	0.35	3479	-1.86	4.96	22.69
0.9	0.4	3523	-1.73	4.9	25.76
0.9	0.45	3583	-1.61	4.86	28.69
0.9	0.5	3649	-1.48	4.81	32.03
0.9	0.57	3798	-1.28	4.74	37.03
0.9	0.6	3883	-1.2	4.72	39.17
0.9	0.62	3947	-1.14	4.7	40.56
0.9	0.7	4209	-0.91	4.64	46.33
0.9	0.75	4418	-0.77	4.61	49.48
0.9	0.8	4602	-0.64	4.58	53.09
0.9	0.85	4776	-0.51	4.54	57.04
0.9	0.9	4957	-0.39	4.51	60.96
0.9	0.95	5136	-0.27	4.47	65.07
0.9	1	5302	-0.16	4.44	69.53
0.9	1.05	5454	-0.05	4.4	74.58
0.9	1.1	5601	0.06	4.36	79.75
0.9	1.15	5752	0.16	4.33	84.95
0.9	1.2	5924	0.26	4.29	90.15
0.9	1.4	6564	0.59	4.21	107.23
1	0.0005	111	-8.85	3.12	7.13
1	0.001	160	-8.19	3.39	7.39
1	0.002	226	-7.56	3.66	7.6
1	0.003	270	-7.24	3.83	7.69
1	0.004	304	-7.03	3.95	7.72
1	0.005	342	-6.83	4.05	7.68
1	0.006	377	-6.66	4.13	7.65
1	0.007	403	-6.56	4.21	7.59
1	0.008	438	-6.42	4.27	7.53
1	0.009	464	-6.33	4.33	7.47
1	0.01	491	-6.24	4.38	7.41
1	0.012	578	-5.96	4.47	7.37
1	0.015	628	-5.84	4.59	7.18
1	0.02	766	-5.51	4.74	6.98
1	0.03	1009	-5.07	4.95	6.7
1	0.04	1271	-4.7	5.1	6.5
1	0.05	1543	-4.37	5.21	6.39
1	0.06	1801	-4.11	5.29	6.38
1	0.07	2082	-3.83	5.33	6.57
1	0.072	2140	-3.77	5.34	6.64
1	0.075	2234	-3.68	5.33	6.79
1	0.08	2383	-3.53	5.32	7.1
1	0.09	2627	-3.27	5.28	7.87
1	0.1	2784	-3.08	5.25	8.67
1	0.11	2919	-2.93	5.22	9.39
1	0.13	3054	-2.73	5.17	10.8
1	0.15	3149	-2.58	5.13	12.09
1	0.175	3234	-2.43	5.1	13.59
1	0.2	3290	-2.32	5.07	15.02
1	0.25	3374	-2.13	5.03	17.67
1	0.3	3437	-1.98	4.99	20.16
1	0.35	3478	-1.86	4.95	22.82
1	0.4	3522	-1.73	4.9	25.81
1	0.45	3583	-1.61	4.86	28.71
1	0.5	3649	-1.48	4.81	32.05
1	0.57	3798	-1.28	4.74	37.07
1	0.6	3883	-1.2	4.71	39.19
1	0.62	3946	-1.14	4.7	40.6
1	0.7	4209	-0.91	4.64	46.37
1	0.75	4418	-0.77	4.61	49.53
1	0.8	4603	-0.64	4.58	53.14
1	0.85	4777	-0.51	4.54	57.1
1	0.9	4958	-0.39	4.51	61.05
1	0.95	5138	-0.27	4.47	65.18
1	1	5304	-0.15	4.44	69.74
1	1.05	5456	-0.04	4.4	74.78
1	1.1	5604	0.06	4.36	80
1	1.15	5754	0.16	4.32	85.26
1	1.2	5928	0.27	4.29	90.59
1	1.4	6554	0.6	4.2	108.33
2	0.001	125	-8.63	3.4	7.26
2	0.002	180	-7.97	3.68	7.44
2	0.003	223	-7.59	3.85	7.52
2	0.004	257	-7.34	3.97	7.53
2	0.005	285	-7.16	4.07	7.51
2	0.006	311	-7.02	4.16	7.46
2	0.007	341	-6.87	4.23	7.4
2	0.008	365	-6.75	4.29	7.35
2	0.009	387	-6.66	4.35	7.29
2	0.01	409	-6.57	4.4	7.24
2	0.012	469	-6.34	4.49	7.16
2	0.015	514	-6.2	4.61	7
2	0.02	610	-5.93	4.76	6.79
2	0.03	824	-5.46	4.98	6.45
2	0.04	1021	-5.12	5.14	6.2
2	0.05	1232	-4.82	5.26	6
2	0.06	1471	-4.53	5.36	5.9
2	0.07	1844	-4.11	5.4	6.07
2	0.072	1941	-4	5.4	6.18
2	0.075	2095	-3.84	5.38	6.41
2	0.08	2327	-3.59	5.35	6.89
2	0.09	2621	-3.28	5.29	7.84
2	0.1	2784	-3.08	5.25	8.67
2	0.11	2920	-2.93	5.22	9.39
2	0.13	3054	-2.73	5.17	10.8
2	0.15	3150	-2.58	5.13	12.09
2	0.175	3234	-2.43	5.1	13.59
2	0.2	3291	-2.32	5.07	15.03
2	0.25	3374	-2.13	5.02	17.73
2	0.3	3437	-1.98	4.98	20.3
2	0.35	3478	-1.85	4.95	22.87
2	0.4	3521	-1.72	4.9	25.98
2	0.45	3582	-1.6	4.86	28.87
2	0.5	3648	-1.47	4.81	32.23
2	0.57	3797	-1.28	4.74	37.27
2	0.6	3883	-1.19	4.71	39.41
2	0.62	3948	-1.13	4.69	40.8
2	0.7	4215	-0.9	4.63	46.66
2	0.75	4427	-0.76	4.6	49.88
2	0.8	4614	-0.62	4.57	53.61
2	0.85	4792	-0.49	4.53	57.76
2	0.9	4977	-0.37	4.49	61.89
2	0.95	5162	-0.24	4.46	66.34
2	1	5328	-0.12	4.42	71.38
2	1.05	5480	-0.01	4.37	77.02
2	1.1	5629	0.1	4.33	83.08
2	1.15	5777	0.21	4.28	89.23
2	1.2	5965	0.33	4.24	96.16
2	1.4	6311	0.66	4.07	125.37
3	0.001	107	-8.91	3.41	7.2
3	0.002	156	-8.23	3.69	7.36
3	0.003	195	-7.84	3.86	7.43
3	0.004	229	-7.56	3.98	7.44
3	0.005	257	-7.36	4.08	7.41
3	0.006	281	-7.21	4.17	7.36
3	0.007	302	-7.09	4.24	7.31
3	0.008	327	-6.96	4.31	7.25
3	0.009	350	-6.85	4.36	7.2
3	0.01	370	-6.76	4.41	7.14
3	0.012	414	-6.57	4.5	7.06
3	0.015	462	-6.4	4.62	6.9
3	0.02	544	-6.14	4.77	6.7
3	0.03	713	-5.72	5	6.34
3	0.04	901	-5.35	5.16	6.06
3	0.05	1085	-5.06	5.29	5.84
3	0.06	1298	-4.77	5.39	5.71
3	0.07	1708	-4.27	5.43	5.86
3	0.072	1836	-4.13	5.43	5.99
3	0.075	2041	-3.9	5.4	6.28
3	0.08	2321	-3.6	5.35	6.86
3	0.09	2622	-3.28	5.29	7.83
3	0.1	2784	-3.08	5.25	8.67
3	0.11	2920	-2.93	5.22	9.39
3	0.13	3054	-2.73	5.17	10.8
3	0.15	3150	-2.58	5.13	12.09
3	0.175	3234	-2.43	5.1	13.6
3	0.2	3291	-2.31	5.07	15.04
3	0.25	3374	-2.12	5.02	17.8
3	0.3	3436	-1.97	4.98	20.47
3	0.35	3477	-1.85	4.94	23.03
3	0.4	3521	-1.72	4.89	26.06
3	0.45	3581	-1.6	4.85	29
3	0.5	3648	-1.47	4.8	32.35
3	0.57	3798	-1.27	4.73	37.4
3	0.6	3886	-1.19	4.71	39.55
3	0.62	3951	-1.13	4.69	40.98
3	0.7	4222	-0.89	4.63	46.9
3	0.75	4437	-0.75	4.6	50.19
3	0.8	4627	-0.61	4.56	54.04
3	0.85	4808	-0.48	4.52	58.35
3	0.9	4999	-0.35	4.48	62.71
3	0.95	5184	-0.22	4.44	67.57
3	1	5352	-0.1	4.39	73.21
3	1.05	5506	0.03	4.34	79.71
3	1.1	5653	0.15	4.29	86.63
3	1.15	5796	0.26	4.24	94.07
3	1.2	5927	0.39	4.17	104.14
3	1.3	5957	0.55	4.05	123.54
4	0.002	140	-8.42	3.7	7.32
4	0.003	176	-8.02	3.86	7.38
4	0.004	208	-7.73	3.99	7.38
4	0.005	236	-7.51	4.09	7.35
4	0.006	261	-7.35	4.17	7.3
4	0.007	281	-7.22	4.25	7.24
4	0.008	300	-7.12	4.31	7.19
4	0.009	323	-7	4.37	7.13
4	0.01	343	-6.89	4.42	7.08
4	0.012	383	-6.71	4.51	7
4	0.015	426	-6.55	4.63	6.84
4	0.02	499	-6.3	4.78	6.64
4	0.03	652	-5.89	5	6.28
4	0.04	820	-5.53	5.17	5.98
4	0.05	994	-5.23	5.3	5.75
4	0.06	1190	-4.94	5.41	5.6
4	0.07	1603	-4.4	5.45	5.73
4	0.072	1766	-4.21	5.44	5.88
4	0.075	2017	-3.93	5.41	6.24
4	0.08	2320	-3.6	5.35	6.86
4	0.09	2622	-3.28	5.29	7.84
4	0.1	2784	-3.08	5.25	8.67
4	0.11	2920	-2.93	5.22	9.39
4	0.13	3054	-2.73	5.17	10.81
4	0.15	3151	-2.58	5.13	12.09
4	0.175	3235	-2.43	5.1	13.61
4	0.2	3292	-2.31	5.07	15.06
4	0.25	3375	-2.12	5.02	17.87
4	0.3	3436	-1.97	4.97	20.61
4	0.35	3476	-1.84	4.94	23.22
4	0.4	3522	-1.72	4.89	26.12
4	0.45	3581	-1.6	4.85	29.08
4	0.5	3648	-1.47	4.8	32.45
4	0.57	3801	-1.27	4.73	37.51
4	0.6	3890	-1.18	4.7	39.68
4	0.62	3955	-1.12	4.69	41.12
4	0.7	4231	-0.89	4.62	47.1
4	0.75	4448	-0.74	4.59	50.49
4	0.8	4641	-0.6	4.55	54.48
4	0.85	4825	-0.46	4.51	59.02
4	0.9	5021	-0.33	4.47	63.64
4	0.95	5210	-0.19	4.42	68.97
4	1	5375	-0.06	4.37	75.42
4	1.05	5528	0.07	4.31	82.86
4	1.1	5675	0.2	4.24	91.25
4	1.15	5782	0.32	4.18	100.65
4	1.2	5677	0.41	4.07	116.76
5	0.002	129	-8.57	3.7	7.29
5	0.003	162	-8.17	3.87	7.34
5	0.004	193	-7.87	3.99	7.34
5	0.005	220	-7.64	4.1	7.3
5	0.006	244	-7.47	4.18	7.25
5	0.007	265	-7.33	4.25	7.2
5	0.008	284	-7.22	4.32	7.14
5	0.009	301	-7.12	4.38	7.09
5	0.01	322	-7.01	4.43	7.03
5	0.012	361	-6.82	4.52	6.94
5	0.015	399	-6.67	4.63	6.8
5	0.02	473	-6.4	4.79	6.59
5	0.03	610	-6.01	5.01	6.23
5	0.04	760	-5.67	5.18	5.93
5	0.05	931	-5.35	5.31	5.68
5	0.06	1120	-5.06	5.42	5.52
5	0.07	1524	-4.5	5.47	5.64
5	0.072	1712	-4.28	5.45	5.8
5	0.075	2006	-3.94	5.41	6.21
5	0.08	2320	-3.6	5.35	6.86
5	0.09	2622	-3.28	5.29	7.84
5	0.1	2785	-3.08	5.25	8.67
5	0.11	2921	-2.93	5.22	9.39
5	0.13	3055	-2.73	5.17	10.81
5	0.15	3151	-2.58	5.13	12.1
5	0.175	3235	-2.43	5.1	13.62
5	0.2	3292	-2.31	5.07	15.09
5	0.25	3376	-2.12	5.01	17.95
5	0.3	3436	-1.96	4.97	20.74
5	0.35	3475	-1.84	4.93	23.38
5	0.4	3522	-1.71	4.89	26.2
5	0.45	3582	-1.59	4.85	29.14
5	0.5	3649	-1.46	4.8	32.53
5	0.57	3804	-1.27	4.73	37.62
5	0.6	3893	-1.18	4.7	39.81
5	0.62	3960	-1.12	4.68	41.24
5	0.7	4239	-0.88	4.62	47.32
5	0.75	4460	-0.73	4.59	50.79
5	0.8	4654	-0.59	4.55	54.95
5	0.85	4843	-0.45	4.5	59.68
5	0.9	5043	-0.31	4.46	64.64
5	0.95	5234	-0.17	4.4	70.61
5	1	5399	-0.03	4.34	77.93
5	1.05	5551	0.12	4.27	86.9
5	1.1	5665	0.25	4.19	97.29
5	1.15	5632	0.34	4.1	109.62
6	0.002	120	-8.69	3.7	7.26
6	0.003	151	-8.29	3.87	7.31
6	0.004	180	-7.99	4	7.3
6	0.005	207	-7.75	4.1	7.27
6	0.006	231	-7.57	4.18	7.21
6	0.007	252	-7.43	4.26	7.16
6	0.008	271	-7.3	4.32	7.1
6	0.009	288	-7.2	4.38	7.05
6	0.01	304	-7.12	4.43	7
6	0.012	343	-6.92	4.52	6.91
6	0.015	382	-6.75	4.64	6.77
6	0.02	450	-6.49	4.79	6.56
6	0.03	580	-6.1	5.02	6.19
6	0.04	716	-5.78	5.19	5.89
6	0.05	885	-5.45	5.32	5.64
6	0.06	1070	-5.15	5.43	5.46
6	0.07	1463	-4.59	5.48	5.57
6	0.072	1669	-4.33	5.46	5.74
6	0.075	2001	-3.95	5.41	6.2
6	0.08	2321	-3.6	5.35	6.86
6	0.09	2623	-3.27	5.29	7.84
6	0.1	2785	-3.08	5.25	8.67
6	0.11	2921	-2.93	5.22	9.4
6	0.13	3055	-2.73	5.17	10.81
6	0.15	3151	-2.58	5.13	12.1
6	0.175	3236	-2.43	5.1	13.63
6	0.2	3292	-2.31	5.07	15.11
6	0.25	3377	-2.11	5.01	18.02
6	0.3	3436	-1.96	4.96	20.84
6	0.35	3475	-1.83	4.92	23.49
6	0.4	3522	-1.71	4.89	26.25
6	0.45	3582	-1.59	4.84	29.21
6	0.5	3650	-1.46	4.8	32.6
6	0.57	3806	-1.26	4.73	37.72
6	0.6	3897	-1.17	4.7	39.92
6	0.62	3965	-1.11	4.68	41.37
6	0.7	4248	-0.87	4.61	47.52
6	0.75	4472	-0.72	4.58	51.09
6	0.8	4668	-0.57	4.54	55.44
6	0.85	4862	-0.43	4.49	60.4
6	0.9	5068	-0.28	4.44	65.74
6	0.95	5258	-0.14	4.38	72.44
6	1	5421	0.02	4.3	81.16
6	1.05	5555	0.17	4.22	92.07
6	1.1	5536	0.27	4.13	104.46
7	0.002	114	-8.8	3.7	7.25
7	0.003	143	-8.39	3.87	7.29
7	0.004	170	-8.09	4	7.28
7	0.005	196	-7.85	4.1	7.24
7	0.006	219	-7.66	4.19	7.18
7	0.007	240	-7.51	4.26	7.13
7	0.008	259	-7.38	4.33	7.07
7	0.009	276	-7.28	4.38	7.02
7	0.01	292	-7.19	4.44	6.97
7	0.012	327	-7	4.53	6.88
7	0.015	366	-6.83	4.64	6.74
7	0.02	431	-6.57	4.79	6.53
7	0.03	556	-6.18	5.02	6.16
7	0.04	688	-5.85	5.19	5.86
7	0.05	847	-5.53	5.33	5.6
7	0.06	1029	-5.22	5.43	5.41
7	0.07	1411	-4.66	5.48	5.52
7	0.072	1632	-4.38	5.47	5.7
7	0.075	1998	-3.95	5.41	6.2
7	0.08	2321	-3.6	5.35	6.86
7	0.09	2623	-3.27	5.29	7.84
7	0.1	2785	-3.08	5.25	8.67
7	0.11	2921	-2.93	5.22	9.39
7	0.13	3056	-2.73	5.17	10.81
7	0.15	3151	-2.58	5.13	12.11
7	0.175	3236	-2.43	5.1	13.64
7	0.2	3293	-2.31	5.06	15.14
7	0.25	3378	-2.11	5.01	18.08
7	0.3	3436	-1.95	4.96	20.93
7	0.35	3475	-1.83	4.92	23.59
7	0.4	3523	-1.71	4.89	26.29
7	0.45	3583	-1.59	4.84	29.26
7	0.5	3651	-1.46	4.79	32.67
7	0.57	3810	-1.26	4.72	37.81
7	0.6	3900	-1.17	4.7	40.04
7	0.62	3968	-1.11	4.68	41.51
7	0.7	4257	-0.86	4.61	47.74
7	0.75	4483	-0.71	4.58	51.42
7	0.8	4682	-0.56	4.53	55.94
7	0.85	4881	-0.41	4.48	61.15
7	0.9	5091	-0.26	4.42	67.02
7	0.95	5281	-0.1	4.35	74.73
7	1	5439	0.06	4.26	85.06
7	1.05	5518	0.22	4.16	98.66
8	0.002	108	-8.88	3.7	7.23
8	0.003	136	-8.48	3.88	7.28
8	0.004	162	-8.18	4	7.26
8	0.005	187	-7.94	4.11	7.22
8	0.006	209	-7.75	4.19	7.16
8	0.007	230	-7.59	4.26	7.1
8	0.008	249	-7.46	4.33	7.05
8	0.009	267	-7.35	4.39	6.99
8	0.01	282	-7.25	4.44	6.94
8	0.012	314	-7.08	4.53	6.85
8	0.015	353	-6.89	4.65	6.71
8	0.02	414	-6.64	4.8	6.51
8	0.03	536	-6.24	5.02	6.14
8	0.04	668	-5.91	5.19	5.83
8	0.05	818	-5.6	5.33	5.57
8	0.06	995	-5.29	5.44	5.37
8	0.07	1366	-4.72	5.49	5.47
8	0.072	1602	-4.41	5.47	5.67
8	0.075	1997	-3.95	5.41	6.19
8	0.08	2321	-3.6	5.35	6.86
8	0.09	2624	-3.27	5.29	7.84
8	0.1	2785	-3.08	5.25	8.67
8	0.11	2921	-2.93	5.22	9.4
8	0.13	3056	-2.73	5.17	10.81
8	0.15	3152	-2.58	5.13	12.11
8	0.175	3237	-2.43	5.1	13.65
8	0.2	3293	-2.31	5.06	15.17
8	0.25	3378	-2.11	5	18.15
8	0.3	3436	-1.95	4.96	21
8	0.35	3475	-1.83	4.92	23.68
8	0.4	3523	-1.71	4.88	26.33
8	0.45	3583	-1.59	4.84	29.3
8	0.5	3652	-1.46	4.79	32.74
8	0.57	3812	-1.26	4.72	37.91
8	0.6	3905	-1.16	4.69	40.15
8	0.62	3973	-1.1	4.68	41.64
8	0.7	4266	-0.86	4.61	47.95
8	0.75	4495	-0.7	4.57	51.76
8	0.8	4696	-0.55	4.52	56.5
8	0.85	4901	-0.39	4.47	62.02
8	0.9	5116	-0.23	4.41	68.41
8	0.95	5304	-0.06	4.32	77.45
8	1	5433	0.11	4.21	89.97
9	0.002	103	-8.96	3.71	7.22
9	0.003	130	-8.56	3.88	7.26
9	0.004	155	-8.26	4	7.25
9	0.005	179	-8.02	4.11	7.2
9	0.006	201	-7.82	4.19	7.14
9	0.007	221	-7.66	4.27	7.08
9	0.008	240	-7.52	4.33	7.03
9	0.009	257	-7.41	4.39	6.97
9	0.01	273	-7.31	4.44	6.92
9	0.012	302	-7.15	4.53	6.83
9	0.015	341	-6.96	4.65	6.69
9	0.02	400	-6.71	4.8	6.48
9	0.03	519	-6.31	5.03	6.12
9	0.04	650	-5.96	5.2	5.81
9	0.05	795	-5.65	5.33	5.54
9	0.06	966	-5.34	5.45	5.34
9	0.07	1325	-4.78	5.5	5.43
9	0.072	1578	-4.44	5.48	5.64
9	0.075	1997	-3.95	5.41	6.19
9	0.08	2322	-3.6	5.35	6.86
9	0.09	2624	-3.27	5.29	7.84
9	0.1	2786	-3.08	5.25	8.67
9	0.11	2922	-2.93	5.22	9.4
9	0.13	3056	-2.73	5.17	10.82
9	0.15	3152	-2.58	5.13	12.12
9	0.175	3237	-2.43	5.09	13.67
9	0.2	3294	-2.3	5.06	15.2
9	0.25	3378	-2.1	5	18.21
9	0.3	3436	-1.95	4.95	21.07
9	0.35	3475	-1.82	4.92	23.74
9	0.4	3523	-1.71	4.88	26.37
9	0.45	3584	-1.59	4.84	29.34
9	0.5	3653	-1.46	4.79	32.79
9	0.57	3816	-1.25	4.72	37.99
9	0.6	3909	-1.16	4.69	40.25
9	0.62	3977	-1.1	4.67	41.77
9	0.7	4275	-0.85	4.6	48.18
9	0.75	4507	-0.69	4.56	52.11
9	0.8	4710	-0.53	4.51	57.08
9	0.85	4922	-0.37	4.45	62.91
9	0.9	5142	-0.2	4.39	70.09
9	0.95	5321	-0.02	4.28	80.97
9	1	5398	0.16	4.15	96.71
10	0.003	125	-8.63	3.88	7.25
10	0.004	149	-8.33	4.01	7.23
10	0.005	172	-8.09	4.11	7.18
10	0.006	193	-7.89	4.2	7.13
