!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: Vega
! Using recent Calspec Alpha Lyrea STIS spectrum:
! ftp://ftp.stsci.edu/cdbs/current_calspec/
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
!  MKO filter system
!
!        Teff    Logg   [M/H]   [a/H]             J           H          Ks          L'          M'
       800.00    4.50    0.00    0.00       -32.511     -32.050     -32.057     -34.729     -34.571
       800.00    5.00    0.00    0.00       -32.536     -32.116     -31.745     -34.804     -35.082
       850.00    3.00    0.00    0.00       -31.936     -32.875     -32.673     -35.423     -34.318
       850.00    3.50    0.00    0.00       -32.755     -32.549     -32.641     -35.041     -33.916
       850.00    4.00    0.00    0.00       -32.825     -32.331     -32.492     -34.908     -34.348
       850.00    4.00    0.50    0.00       -32.860     -32.647     -33.083     -35.172     -33.445
       850.00    4.50    0.00    0.00       -32.792     -32.422     -32.502     -34.978     -34.686
       850.00    5.00    0.00    0.00       -32.819     -32.468     -32.278     -35.037     -35.163
       850.00    5.50    0.00    0.00       -32.962     -33.346     -31.825     -35.242     -35.323
       900.00    3.00    0.00    0.00       -31.920     -33.227     -33.266     -35.804     -34.621
       900.00    3.50    0.00    0.00       -32.035     -33.148     -33.232     -35.652     -34.285
       900.00    4.00    0.00    0.00       -32.865     -32.940     -33.069     -35.291     -34.579
       900.00    4.00    0.50    0.00       -33.039     -32.990     -33.274     -35.351     -33.984
       900.00    4.50    0.00    0.00       -33.056     -32.820     -32.918     -35.218     -34.801
       900.00    5.00    0.00    0.00       -33.141     -32.766     -32.664     -35.216     -35.205
       950.00    3.00    0.00    0.00       -31.039     -32.908     -33.828     -36.090     -34.929
       950.00    3.50    0.00    0.00       -32.463     -33.390     -33.447     -35.753     -34.505
       950.00    4.00    0.00    0.00       -32.934     -33.300     -33.415     -35.531     -34.829
       950.00    4.00    0.50    0.00       -33.250     -33.493     -33.830     -35.767     -34.145
       950.00    4.50    0.00    0.00       -33.272     -33.159     -33.248     -35.424     -34.998
       950.00    5.00    0.00    0.00       -33.327     -33.150     -33.109     -35.440     -35.263
       900.00    5.50    0.00    0.00       -33.495     -33.416     -32.577     -35.487     -35.087
       950.00    5.50    0.00    0.00       -33.469     -33.371     -32.823     -35.562     -35.181
      1000.00    3.50    0.00    0.00       -32.573     -33.745     -34.007     -36.111     -34.760
      1000.00    4.00    0.00    0.00       -32.749     -33.651     -33.883     -35.880     -35.011
      1000.00    4.00    0.50    0.00       -33.411     -33.712     -33.849     -35.645     -34.550
      1000.00    4.00   -0.50    0.20       -32.711     -33.618     -33.610     -35.933     -35.316
      1000.00    4.50    0.00    0.00       -33.089     -33.585     -33.725     -35.735     -35.164
      1000.00    4.50   -0.50    0.20       -33.242     -33.583     -33.354     -35.809     -35.541
      1000.00    5.00    0.00    0.00       -33.334     -33.467     -33.489     -35.645     -35.396
      1000.00    5.00   -0.50    0.20       -33.337     -33.533     -32.998     -35.792     -35.841
      1050.00    3.50    0.00    0.00       -32.221     -33.746     -34.401     -36.405     -34.703
      1050.00    4.00    0.00    0.00       -32.503     -34.054     -34.754     -36.622     -34.755
      1050.00    4.00    0.50    0.00       -33.106     -33.443     -33.757     -35.209     -35.228
      1050.00    4.00   -0.50    0.20       -32.272     -33.802     -34.195     -36.374     -35.441
      1050.00    4.50    0.00    0.00       -33.352     -33.837     -33.986     -35.917     -35.323
      1050.00    4.50   -0.50    0.20       -32.945     -33.944     -34.009     -36.174     -35.684
      1050.00    5.00    0.00    0.00       -33.485     -33.790     -33.845     -35.855     -35.499
      1050.00    5.00   -0.50    0.20       -33.473     -33.895     -33.525     -36.023     -35.927
      1000.00    5.50    0.00    0.00       -33.584     -33.409     -33.168     -35.644     -35.756
      1050.00    5.50    0.00    0.00       -33.702     -33.718     -33.562     -35.823     -35.823
      1100.00    3.50    0.00    0.00       -31.792     -33.633     -34.747     -36.589     -35.032
      1100.00    3.50   -0.50    0.20       -30.336     -32.657     -34.548     -36.624     -36.191
      1100.00    4.00    0.00    0.00       -32.630     -34.124     -34.871     -36.613     -35.122
      1100.00    4.00    0.50    0.00       -33.393     -33.995     -34.420     -36.141     -35.390
      1100.00    4.00   -0.50    0.20       -32.526     -34.020     -34.601     -36.600     -35.666
      1100.00    4.50    0.00    0.00       -33.328     -34.111     -34.371     -36.168     -35.481
      1100.00    4.50   -0.50    0.20       -33.280     -34.103     -34.161     -36.248     -35.775
      1100.00    5.00    0.00    0.00       -33.624     -34.128     -34.226     -36.091     -35.628
      1100.00    5.00   -0.50    0.20       -33.481     -34.111     -33.924     -36.199     -35.996
      1150.00    3.50    0.00    0.00       -31.464     -33.509     -34.953     -36.840     -35.577
      1150.00    3.50    0.50    0.00       -32.021     -33.608     -34.893     -36.406     -35.931
      1150.00    3.50   -0.50    0.20       -30.653     -33.068     -34.765     -36.747     -36.252
      1150.00    4.00    0.00    0.00       -32.859     -34.273     -34.966     -36.682     -35.296
      1150.00    4.00    0.50    0.00       -33.447     -34.369     -34.799     -36.441     -34.917
      1150.00    4.00   -0.50    0.20       -32.830     -34.182     -34.791     -36.651     -35.820
      1150.00    4.50    0.00    0.00       -33.176     -34.291     -34.736     -36.423     -35.756
      1150.00    4.50   -0.50    0.20       -33.361     -34.331     -34.544     -36.482     -35.900
      1150.00    5.00    0.00    0.00       -33.833     -34.329     -34.418     -36.219     -35.700
      1150.00    5.00   -0.50    0.20       -33.586     -34.358     -34.292     -36.391     -36.074
      1100.00    5.50    0.00    0.00       -33.798     -34.048     -33.969     -36.025     -35.886
      1150.00    5.50    0.00    0.00       -33.950     -34.323     -34.264     -36.188     -35.947
      1200.00    3.50    0.00    0.00       -31.907     -33.849     -35.224     -36.906     -35.897
      1200.00    3.50    0.50    0.00       -32.179     -33.824     -35.155     -36.572     -36.596
      1200.00    3.50   -0.50    0.20       -31.966     -33.749     -35.143     -36.777     -36.335
      1200.00    4.00    0.00    0.00       -32.664     -34.212     -35.255     -36.840     -35.655
      1200.00    4.00    0.50    0.00       -33.197     -34.184     -35.047     -36.598     -35.298
      1200.00    4.00   -0.50    0.20       -32.951     -34.332     -35.128     -36.861     -35.989
      1200.00    4.50    0.00    0.00       -33.069     -34.400     -35.109     -36.755     -35.870
      1200.00    4.50    0.50    0.00       -32.362     -33.884     -35.180     -36.816     -36.053
      1200.00    4.50   -0.50    0.20       -33.388     -34.491     -34.981     -36.731     -36.080
      1200.00    5.00    0.00    0.00       -33.549     -34.521     -34.892     -36.500     -35.886
      1200.00    5.00    0.50    0.00       -32.964     -34.274     -35.334     -36.916     -35.575
      1200.00    5.00   -0.50    0.20       -33.468     -34.499     -34.755     -36.607     -36.185
      1250.00    3.50    0.00    0.00       -32.267     -34.018     -35.421     -36.960     -36.454
      1250.00    3.50   -0.50    0.20       -32.217     -33.904     -35.292     -36.839     -36.633
      1250.00    4.00    0.00    0.00       -32.551     -34.231     -35.445     -37.034     -35.992
      1250.00    4.00    0.50    0.00       -31.606     -33.539     -35.027     -36.773     -36.920
      1250.00    4.00   -0.50    0.20       -33.076     -34.446     -35.313     -36.944     -36.154
      1250.00    4.50    0.00    0.00       -33.176     -34.504     -35.364     -36.901     -35.864
      1250.00    4.50    0.50    0.00       -32.633     -34.070     -35.326     -36.875     -36.183
      1250.00    4.50   -0.50    0.20       -33.459     -34.676     -35.174     -36.845     -36.168
      1250.00    5.00    0.00    0.00       -33.643     -34.670     -35.159     -36.660     -36.031
      1250.00    5.00    0.50    0.00       -33.025     -34.374     -35.477     -37.064     -35.999
      1250.00    5.00   -0.50    0.20       -33.632     -34.667     -34.979     -36.753     -36.269
      1200.00    5.50    0.00    0.00       -33.901     -34.514     -34.607     -36.379     -36.028
      1250.00    5.50    0.00    0.00       -33.992     -34.765     -34.914     -36.568     -36.112
      1300.00    3.50    0.00    0.00       -32.408     -34.083     -35.404     -36.827     -36.736
      1300.00    3.50    0.50    0.00       -32.390     -34.062     -35.410     -36.859     -37.048
      1300.00    3.50   -0.50    0.20       -32.294     -33.955     -35.358     -36.924     -36.818
      1300.00    4.00    0.00    0.00       -32.777     -34.367     -35.609     -37.068     -36.358
      1300.00    4.00    0.50    0.00       -32.593     -34.193     -35.511     -36.953     -36.818
      1300.00    4.00   -0.50    0.20       -32.766     -34.315     -35.541     -37.072     -36.638
      1300.00    4.50    0.00    0.00       -32.792     -34.393     -35.571     -37.017     -36.312
      1300.00    4.50    0.50    0.00       -32.752     -34.235     -35.471     -36.972     -36.390
      1300.00    4.50   -0.50    0.20       -33.335     -34.621     -35.548     -37.032     -36.470
      1300.00    5.00    0.00    0.00       -33.659     -34.815     -35.464     -36.880     -36.148
      1300.00    5.00    0.50    0.00       -33.115     -34.468     -35.538     -37.018     -35.997
      1300.00    5.00   -0.50    0.20       -33.719     -34.856     -35.326     -36.909     -36.365
      1350.00    3.50    0.00    0.00       -32.716     -34.360     -35.666     -37.082     -37.068
      1350.00    3.50    0.50    0.00       -32.254     -34.022     -35.443     -36.911     -37.191
      1350.00    3.50   -0.50    0.20       -32.599     -34.230     -35.580     -37.075     -37.024
      1350.00    4.00    0.00    0.00       -32.926     -34.512     -35.712     -36.842     -36.795
      1350.00    4.00    0.50    0.00       -32.602     -34.147     -35.448     -36.898     -37.043
      1350.00    4.00   -0.50    0.20       -32.904     -34.464     -35.667     -37.035     -36.809
      1350.00    4.50    0.00    0.00       -33.202     -34.611     -35.679     -37.112     -36.462
      1350.00    4.50    0.50    0.00       -32.965     -34.509     -35.744     -37.031     -36.685
      1350.00    4.50   -0.50    0.20       -33.396     -34.800     -35.733     -37.150     -36.589
      1350.00    5.00    0.00    0.00       -33.642     -34.860     -35.712     -37.056     -36.381
      1350.00    5.00    0.50    0.00       -33.195     -34.551     -35.748     -37.202     -36.336
      1350.00    5.00   -0.50    0.20       -34.187     -34.989     -35.498     -37.039     -36.500
      1300.00    5.50    0.00    0.00       -34.001     -34.910     -35.232     -36.748     -36.219
      1350.00    5.50    0.00    0.00       -34.003     -35.029     -35.525     -36.897     -36.343
      1400.00    3.50    0.00    0.00       -32.697     -34.410     -35.744     -37.074     -37.219
      1400.00    3.50    0.50    0.00       -32.644     -34.258     -35.605     -37.151     -37.321
      1400.00    3.50   -0.50    0.20       -32.877     -34.501     -35.786     -37.129     -37.203
      1400.00    4.00    0.00    0.00       -33.084     -34.557     -35.746     -37.114     -37.047
