!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: Vega
! Using recent Calspec Alpha Lyrea STIS spectrum:
! ftp://ftp.stsci.edu/cdbs/current_calspec/
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
!  MKO filter system
!
!        Teff    Logg   [M/H]   [a/H]             J           H          Ks          L'          M'
      1950.00    3.50    0.00    0.00       -35.961     -36.397     -37.035     -37.887     -37.793
      1950.00    4.00    0.00    0.00       -35.842     -36.442     -37.088     -37.962     -37.811
      1950.00    4.50    0.00    0.00       -35.960     -36.534     -37.080     -37.969     -37.694
      1950.00    5.00    0.00    0.00       -35.999     -36.613     -37.040     -37.891     -37.781
      1900.00    5.50    0.00    0.00       -35.693     -36.271     -36.801     -37.796     -37.570
      1950.00    5.50    0.00    0.00       -35.811     -36.373     -36.869     -37.828     -37.668
      2000.00    3.00    0.00    0.00       -35.931     -36.479     -37.144     -37.932     -37.888
      2000.00    3.50    0.00    0.00       -36.133     -36.531     -37.138     -37.948     -37.865
      2000.00    3.50    0.50    0.00       -35.968     -36.489     -37.197     -38.020     -37.895
      2000.00    4.00    0.00    0.00       -36.133     -36.593     -37.164     -37.988     -37.819
      2000.00    4.00    0.50    0.00       -35.995     -36.555     -37.238     -38.043     -37.817
      2000.00    4.00   -0.50    0.20       -35.886     -36.615     -37.283     -38.109     -37.947
      2000.00    4.50    0.00    0.00       -36.174     -36.654     -37.141     -37.993     -37.695
      2000.00    4.50    0.50    0.00       -36.034     -36.606     -37.240     -38.033     -37.784
      2000.00    4.50   -0.50    0.20       -35.871     -36.590     -37.244     -38.108     -37.888
      2000.00    5.00    0.00    0.00       -36.153     -36.680     -37.205     -38.075     -37.891
      2000.00    5.00    0.50    0.00       -36.036     -36.489     -37.065     -37.981     -37.919
      2000.00    5.00   -0.50    0.20       -36.086     -36.504     -37.014     -37.927     -37.786
      2050.00    2.50    0.00    0.00       -35.211     -35.782     -36.594     -37.589     -37.702
      2000.00    5.50    0.00    0.00       -36.204     -36.682     -37.070     -38.012     -37.729
      2100.00    2.50    0.00    0.00       -35.682     -36.210     -36.914     -37.729     -37.739
      2100.00    3.00    0.00    0.00       -35.887     -36.556     -37.253     -38.025     -38.031
      2100.00    3.50    0.00    0.00       -36.261     -36.687     -37.280     -38.041     -37.878
      2100.00    3.50    0.50    0.00       -36.321     -36.708     -37.328     -38.084     -37.975
      2100.00    3.50   -0.50    0.20       -36.243     -36.639     -37.249     -38.033     -37.905
      2100.00    4.00    0.00    0.00       -36.352     -36.753     -37.282     -38.060     -37.864
      2100.00    4.00    0.50    0.00       -36.151     -36.748     -37.466     -38.237     -38.141
      2100.00    4.00   -0.50    0.20       -36.387     -36.744     -37.277     -38.063     -37.858
      2100.00    4.50    0.00    0.00       -36.437     -36.857     -37.305     -38.083     -37.801
      2100.00    4.50    0.50    0.00       -36.417     -36.803     -37.351     -38.091     -37.917
      2100.00    4.50   -0.50    0.20       -36.504     -36.802     -37.211     -38.043     -37.708
      2100.00    5.00    0.00    0.00       -36.469     -36.906     -37.257     -38.087     -37.652
      2100.00    5.00    0.50    0.00       -36.431     -36.862     -37.361     -38.085     -37.810
      2100.00    5.00   -0.50    0.20       -36.545     -36.819     -37.114     -38.036     -37.649
      2100.00    5.50    0.00    0.00       -36.493     -36.961     -37.199     -38.108     -37.466
      2200.00    3.00    0.00    0.00       -36.345     -36.831     -37.460     -38.197     -38.173
      2200.00    3.50    0.00    0.00       -36.529     -36.933     -37.486     -38.192     -38.084
      2200.00    3.50   -0.50    0.20       -36.577     -36.914     -37.465     -38.178     -38.059
      2200.00    4.00    0.00    0.00       -36.569     -36.973     -37.482     -38.189     -38.040
      2200.00    4.00    0.50    0.00       -36.572     -36.952     -37.505     -38.201     -38.054
      2200.00    4.00   -0.50    0.20       -36.586     -36.934     -37.442     -38.167     -37.971
      2200.00    4.50    0.00    0.00       -36.593     -37.028     -37.475     -38.191     -37.898
      2200.00    4.50    0.50    0.00       -36.645     -37.034     -37.546     -38.220     -37.963
      2200.00    4.50   -0.50    0.20       -36.626     -36.974     -37.409     -38.164     -37.879
      2200.00    5.00    0.00    0.00       -36.629     -37.074     -37.435     -38.189     -37.808
      2200.00    5.00    0.50    0.00       -36.674     -37.076     -37.536     -38.209     -37.869
      2200.00    5.00   -0.50    0.20       -36.710     -37.005     -37.310     -38.141     -37.791
      2200.00    5.50    0.00    0.00       -36.644     -37.118     -37.381     -38.202     -37.703
      2300.00    2.50    0.00    0.00       -36.626     -37.055     -37.621     -38.304     -38.323
      2300.00    3.00    0.00    0.00       -36.662     -37.082     -37.632     -38.306     -38.294
      2300.00    3.50    0.00    0.00       -36.721     -37.117     -37.634     -38.293     -38.183
      2300.00    3.50   -0.50    0.20       -36.740     -37.067     -37.587     -38.257     -38.166
      2300.00    4.00    0.00    0.00       -36.736     -37.150     -37.638     -38.294     -38.115
      2300.00    4.00   -0.50    0.20       -36.767     -37.105     -37.588     -38.259     -38.085
      2300.00    4.50    0.00    0.00       -36.757     -37.201     -37.647     -38.307     -38.051
      2300.00    4.50    0.50    0.00       -36.767     -37.152     -37.647     -38.296     -38.123
      2300.00    4.50   -0.50    0.20       -36.786     -37.146     -37.576     -38.266     -38.006
      2300.00    5.00    0.00    0.00       -36.789     -37.244     -37.607     -38.293     -37.908
      2300.00    5.00    0.50    0.00       -36.554     -37.139     -37.696     -38.389     -38.344
      2300.00    5.00   -0.50    0.20       -36.844     -37.173     -37.497     -38.245     -37.889
      2300.00    5.50    0.00    0.00       -36.827     -37.309     -37.589     -38.315     -37.936
      2400.00    3.00    0.00    0.00       -36.806     -37.239     -37.761     -38.401     -38.413
      2400.00    3.50    0.00    0.00       -36.802     -37.257     -37.769     -38.405     -38.383
      2400.00    3.50   -0.50    0.20       -36.885     -37.228     -37.722     -38.353     -38.284
      2400.00    4.00    0.00    0.00       -36.898     -37.321     -37.785     -38.399     -38.266
      2400.00    4.00   -0.50    0.20       -36.932     -37.275     -37.734     -38.359     -38.223
      2400.00    4.50    0.00    0.00       -36.910     -37.351     -37.779     -38.396     -38.201
      2400.00    4.50    0.50    0.00       -36.918     -37.312     -37.783     -38.397     -38.272
      2400.00    4.50   -0.50    0.20       -36.940     -37.309     -37.730     -38.365     -38.147
      2400.00    5.00    0.00    0.00       -36.923     -37.400     -37.775     -38.402     -38.045
      2400.00    5.00    0.50    0.00       -36.892     -37.389     -37.871     -38.489     -38.464
      2400.00    5.00   -0.50    0.20       -36.979     -37.334     -37.679     -38.351     -38.055
      2400.00    5.50    0.00    0.00       -36.948     -37.443     -37.739     -38.403     -38.017
      2500.00    0.00    0.00    0.00       -36.803     -37.451     -37.851     -38.294     -38.034
      2500.00    0.50    0.00    0.00       -36.960     -37.548     -37.907     -38.360     -38.162
      2500.00    1.00    0.00    0.00       -37.066     -37.544     -37.890     -38.376     -38.244
      2500.00    1.50    0.00    0.00       -37.124     -37.460     -37.842     -38.393     -38.318
      2500.00    2.00    0.00    0.00       -37.004     -37.383     -37.851     -38.449     -38.424
      2500.00    2.50    0.00    0.00       -36.982     -37.378     -37.863     -38.466     -38.482
      2500.00    3.00    0.00    0.00       -36.961     -37.393     -37.881     -38.483     -38.497
      2500.00    3.50    0.00    0.00       -36.986     -37.427     -37.901     -38.494     -38.476
      2500.00    3.50   -0.50    0.20       -37.014     -37.371     -37.843     -38.441     -38.403
      2500.00    4.00    0.00    0.00       -37.024     -37.468     -37.915     -38.497     -38.414
      2500.00    4.00   -0.50    0.20       -37.042     -37.411     -37.860     -38.452     -38.368
      2500.00    4.50    0.00    0.00       -37.043     -37.496     -37.911     -38.488     -38.320
      2500.00    4.50    0.50    0.00       -37.036     -37.455     -37.908     -38.494     -38.421
      2500.00    4.50   -0.50    0.20       -37.083     -37.455     -37.860     -38.451     -38.269
      2500.00    5.00    0.00    0.00       -37.071     -37.547     -37.911     -38.491     -38.182
      2500.00    5.00    0.50    0.00       -37.049     -37.488     -37.916     -38.495     -38.379
      2500.00    5.00   -0.50    0.20       -37.128     -37.504     -37.850     -38.457     -38.188
      2500.00    5.50    0.00    0.00       -37.119     -37.615     -37.906     -38.504     -38.192
      2500.00    5.50    0.50    0.00       -37.041     -37.520     -37.920     -38.499     -38.345
      2600.00    0.00    0.00    0.00       -36.904     -37.629     -38.019     -38.408     -38.122
      2600.00    0.50    0.00    0.00       -37.068     -37.742     -38.084     -38.476     -38.256
      2600.00    1.00    0.00    0.00       -37.179     -37.754     -38.071     -38.488     -38.329
      2600.00    1.50    0.00    0.00       -37.245     -37.717     -38.044     -38.513     -38.396
      2600.00    2.00    0.00    0.00       -37.166     -37.647     -38.073     -38.609     -38.587
      2600.00    2.50    0.00    0.00       -37.154     -37.560     -38.000     -38.556     -38.573
      2600.00    3.00    0.00    0.00       -37.109     -37.545     -38.001     -38.567     -38.587
      2600.00    3.50    0.00    0.00       -37.127     -37.577     -38.023     -38.581     -38.581
      2600.00    3.50   -0.50    0.20       -37.147     -37.509     -37.956     -38.523     -38.514
      2600.00    4.00    0.00    0.00       -37.164     -37.621     -38.044     -38.591     -38.545
      2600.00    4.00   -0.50    0.20       -37.177     -37.551     -37.975     -38.531     -38.464
      2600.00    4.50    0.00    0.00       -37.180     -37.652     -38.052     -38.592     -38.487
      2600.00    4.50    0.50    0.00       -37.198     -37.611     -38.032     -38.580     -38.522
      2600.00    4.50   -0.50    0.20       -37.208     -37.594     -37.987     -38.540     -38.412
      2600.00    4.50   -1.00    0.40       -37.213     -37.553     -37.924     -38.508     -38.410
      2600.00    4.50   -2.00    0.40       -37.246     -37.409     -37.409     -38.367     -38.256
      2600.00    4.50   -2.50    0.40       -37.180     -37.188     -37.156     -38.251     -38.253
      2600.00    5.00    0.00    0.00       -37.197     -37.683     -38.041     -38.582     -38.353
      2600.00    5.00    0.50    0.00       -37.185     -37.632     -38.041     -38.587     -38.504
      2600.00    5.00   -0.50    0.20       -37.246     -37.644     -37.990     -38.550     -38.354
      2600.00    5.00   -1.00    0.40       -37.255     -37.586     -37.890     -38.508     -38.368
      2600.00    5.00   -2.00    0.40       -37.251     -37.361     -37.305     -38.341     -38.226
      2600.00    5.00   -2.50    0.40       -37.274     -37.012     -36.789     -38.106     -38.103
      2600.00    5.50    0.00    0.00       -37.214     -37.725     -38.032     -38.586     -38.283
      2600.00    5.50    0.50    0.00       -37.214     -37.680     -38.050     -38.585     -38.414
      2600.00    5.50   -1.00    0.40       -37.282     -37.599     -37.814     -38.498     -38.297
      2600.00    5.50   -2.00    0.40       -37.285     -37.326     -37.159     -38.308     -38.181
      2600.00    5.50   -2.50    0.40       -37.196     -37.025     -36.746     -38.130     -38.140
      2700.00    0.00    0.00    0.00       -37.000     -37.792     -38.177     -38.519     -38.211
      2700.00    0.50    0.00    0.00       -37.165     -37.918     -38.251     -38.592     -38.351
      2700.00   -0.50    0.00    0.00       -36.729     -37.555     -37.990     -38.353     -38.033
      2700.00    1.00    0.00    0.00       -37.277     -37.947     -38.247     -38.603     -38.416
      2700.00    1.50    0.00    0.00       -37.370     -37.845     -38.143     -38.572     -38.511
      2700.00    2.00    0.00    0.00       -37.126     -37.638     -38.087     -38.636     -38.707
      2700.00    2.50    0.00    0.00       -37.303     -37.742     -38.132     -38.637     -38.650
      2700.00    3.00    0.00    0.00       -37.242     -37.692     -38.118     -38.649     -38.676
      2700.00    3.50    0.00    0.00       -37.275     -37.738     -38.153     -38.672     -38.684
      2700.00    3.50   -0.50    0.20       -37.261     -37.646     -38.072     -38.609     -38.625
      2700.00    4.00    0.00    0.00       -37.278     -37.750     -38.154     -38.671     -38.653
      2700.00    4.00   -0.50    0.20       -37.311     -37.697     -38.097     -38.620     -38.593
      2700.00    4.50    0.00    0.00       -37.294     -37.778     -38.161     -38.672     -38.602
      2700.00    4.50    0.50    0.00       -37.317     -37.750     -38.151     -38.667     -38.626
      2700.00    4.50   -0.50    0.20       -37.309     -37.718     -38.101     -38.624     -38.555
      2700.00    4.50   -1.00    0.40       -37.337     -37.699     -38.060     -38.599     -38.533
      2700.00    4.50   -2.00    0.40       -37.331     -37.599     -37.687     -38.502     -38.423
      2700.00    4.50   -2.50    0.40       -37.307     -37.395     -37.378     -38.368     -38.370
      2700.00    5.00    0.00    0.00       -37.325     -37.824     -38.173     -38.676     -38.532
      2700.00    5.00    0.50    0.00       -37.331     -37.776     -38.157     -38.666     -38.580
      2700.00    5.00   -0.50    0.20       -37.351     -37.767     -38.108     -38.631     -38.501
      2700.00    5.00   -1.00    0.40       -37.370     -37.730     -38.038     -38.600     -38.502
      2700.00    5.00   -2.00    0.40       -37.378     -37.570     -37.548     -38.465     -38.360
      2700.00    5.00   -2.50    0.40       -37.394     -37.249     -37.044     -38.222     -38.228
      2700.00    5.50    0.00    0.00       -37.332     -37.852     -38.160     -38.672     -38.419
      2700.00    5.50    0.50    0.00       -37.352     -37.817     -38.168     -38.667     -38.490
      2700.00    5.50   -1.00    0.40       -37.390     -37.738     -37.970     -38.586     -38.417
      2700.00    5.50   -2.00    0.40       -37.408     -37.519     -37.407     -38.421     -38.310
      2700.00    5.50   -2.50    0.40       -37.365     -37.210     -36.968     -38.231     -38.231
      2800.00    0.00    0.00    0.00       -37.096     -37.942     -38.325     -38.628     -38.300
      2800.00    0.50    0.00    0.00       -37.257     -38.078     -38.408     -38.704     -38.444
      2800.00   -0.50    0.00    0.00       -36.829     -37.696     -38.125     -38.450     -38.115
      2800.00    1.00    0.00    0.00       -37.370     -38.125     -38.418     -38.721     -38.505
      2800.00    1.50    0.00    0.00       -37.459     -38.141     -38.407     -38.738     -38.563
      2800.00    2.00    0.00    0.00       -37.454     -38.060     -38.341     -38.722     -38.652
      2800.00    2.50    0.00    0.00       -37.436     -37.947     -38.287     -38.733     -38.727
      2800.00    3.00    0.00    0.00       -37.405     -37.871     -38.249     -38.730     -38.743
      2800.00    3.50    0.00    0.00       -37.383     -37.862     -38.253     -38.743     -38.769
      2800.00    4.00    0.00    0.00       -37.406     -37.885     -38.262     -38.745     -38.739
      2800.00    4.50    0.00    0.00       -37.413     -37.911     -38.276     -38.755     -38.715
      2800.00    4.50    0.50    0.00       -37.454     -37.893     -38.265     -38.747     -38.721
      2800.00    4.50   -1.00    0.40       -37.441     -37.829     -38.181     -38.684     -38.653
      2800.00    4.50   -2.00    0.40       -37.422     -37.751     -37.882     -38.602     -38.547
      2800.00    4.50   -2.50    0.40       -37.431     -37.603     -37.599     -38.491     -38.486
      2800.00    5.00    0.00    0.00       -37.429     -37.941     -38.282     -38.757     -38.662
      2800.00    5.00    0.50    0.00       -37.461     -37.914     -38.271     -38.748     -38.682
      2800.00    5.00   -0.50    0.20       -37.444     -37.879     -38.215     -38.706     -38.613
      2800.00    5.00   -1.00    0.40       -37.461     -37.848     -38.158     -38.678     -38.605
      2800.00    5.00   -2.00    0.40       -37.477     -37.741     -37.773     -38.576     -38.494
      2800.00    5.00   -2.50    0.40       -37.502     -37.484     -37.286     -38.347     -38.352
      2800.00    5.50    0.00    0.00       -37.452     -37.982     -38.288     -38.761     -38.578
      2800.00    5.50    0.50    0.00       -37.470     -37.941     -38.276     -38.747     -38.615
      2800.00    5.50   -1.00    0.40       -37.493     -37.874     -38.119     -38.674     -38.537
      2800.00    5.50   -2.00    0.40       -37.518     -37.701     -37.643     -38.534     -38.450
      2800.00    5.50   -2.50    0.40       -37.507     -37.407     -37.210     -38.334     -38.341
      2900.00    0.00    0.00    0.00       -37.193     -38.075     -38.455     -38.727     -38.385
      2900.00    0.50    0.00    0.00       -37.347     -38.219     -38.548     -38.809     -38.534
      2900.00   -0.50    0.00    0.00       -36.960     -37.749     -38.183     -38.538     -38.228
      2900.00    1.00    0.00    0.00       -37.457     -38.284     -38.575     -38.837     -38.596
      2900.00    1.50    0.00    0.00       -37.535     -38.303     -38.563     -38.836     -38.632
      2900.00    2.00    0.00    0.00       -37.583     -38.184     -38.431     -38.765     -38.701
      2900.00    2.50    0.00    0.00       -37.551     -38.143     -38.439     -38.819     -38.793
      2900.00    3.00    0.00    0.00       -37.536     -38.056     -38.394     -38.824     -38.823
      2900.00    3.50    0.00    0.00       -37.496     -37.987     -38.349     -38.806     -38.828
      2900.00    4.00    0.00    0.00       -37.512     -38.010     -38.366     -38.820     -38.825
      2900.00    4.50    0.00    0.00       -37.521     -38.029     -38.374     -38.825     -38.802
      2900.00    4.50    0.50    0.00       -37.583     -38.033     -38.373     -38.819     -38.794
      2900.00    4.50   -1.00    0.40       -37.538     -37.947     -38.289     -38.761     -38.754
      2900.00    4.50   -2.00    0.40       -37.531     -37.912     -38.063     -38.703     -38.657
      2900.00    4.50   -2.50    0.40       -37.499     -37.715     -37.771     -38.568     -38.589
      2900.00    5.00    0.00    0.00       -37.550     -38.071     -38.395     -38.836     -38.760
      2900.00    5.00    0.50    0.00       -37.572     -38.037     -38.376     -38.824     -38.776
      2900.00    5.00   -1.00    0.40       -37.571     -37.985     -38.291     -38.766     -38.720
      2900.00    5.00   -2.00    0.40       -37.565     -37.891     -37.978     -38.680     -38.626
      2900.00    5.00   -2.50    0.40       -37.580     -37.644     -37.499     -38.457     -38.462
      2900.00    5.50    0.00    0.00       -37.576     -38.115     -38.413     -38.850     -38.708
      2900.00    5.50    0.50    0.00       -37.588     -38.068     -38.387     -38.827     -38.724
      2900.00    5.50   -1.00    0.40       -37.589     -37.999     -38.255     -38.758     -38.660
      2900.00    5.50   -2.00    0.40       -37.606     -37.853     -37.845     -38.635     -38.570
      2900.00    5.50   -2.50    0.40       -37.619     -37.594     -37.412     -38.433     -38.442
      3000.00    0.00    0.00    0.00       -37.291     -38.192     -38.567     -38.813     -38.457
      3000.00    0.50    0.00    0.00       -37.438     -38.344     -38.672     -38.904     -38.614
      3000.00    1.00    0.00    0.00       -37.542     -38.417     -38.709     -38.938     -38.680
      3000.00    1.50    0.00    0.00       -37.619     -38.448     -38.706     -38.940     -38.719
      3000.00    2.00    0.00    0.00       -37.685     -38.396     -38.630     -38.898     -38.774
      3000.00    2.50    0.00    0.00       -37.671     -38.345     -38.598     -38.905     -38.833
      3000.00    2.50   -1.00    0.40       -37.651     -38.131     -38.447     -38.851     -38.893
      3000.00    3.00    0.00    0.00       -37.665     -38.250     -38.554     -38.926     -38.904
      3000.00    3.00   -0.50    0.20       -37.653     -38.137     -38.460     -38.870     -38.901
      3000.00    3.00   -1.00    0.40       -37.617     -38.037     -38.384     -38.823     -38.873
      3000.00    3.50    0.00    0.00       -37.620     -38.153     -38.483     -38.898     -38.908
      3000.00    3.50   -0.50    0.20       -37.634     -38.084     -38.424     -38.856     -38.892
      3000.00    4.00    0.00    0.00       -37.632     -38.145     -38.474     -38.893     -38.891
      3000.00    4.00   -0.50    0.20       -37.643     -38.094     -38.433     -38.865     -38.897
      3000.00    4.50    0.00    0.00       -37.630     -38.147     -38.472     -38.894     -38.875
      3000.00    4.50    0.50    0.00       -37.682     -38.164     -38.486     -38.902     -38.888
      3000.00    4.50   -0.50    0.20       -37.638     -38.092     -38.422     -38.856     -38.857
      3000.00    4.50   -1.00    0.40       -37.638     -38.064     -38.391     -38.833     -38.839
      3000.00    4.50   -1.50    0.40       -37.618     -38.079     -38.363     -38.834     -38.832
      3000.00    4.50   -2.00    0.40       -37.602     -38.024     -38.212     -38.784     -38.766
      3000.00    4.50   -2.50    0.40       -37.602     -37.890     -37.962     -38.680     -38.693
      3000.00    5.00    0.00    0.00       -37.643     -38.172     -38.484     -38.901     -38.846
      3000.00    5.00    0.00    0.20       -37.696     -38.114     -38.439     -38.866     -38.854
      3000.00    5.00    0.50    0.00       -37.675     -38.157     -38.478     -38.898     -38.867
      3000.00    5.00   -0.50    0.20       -37.650     -38.116     -38.429     -38.860     -38.822
      3000.00    5.00   -1.00    0.40       -37.651     -38.084     -38.384     -38.831     -38.803
      3000.00    5.00   -1.50    0.40       -37.638     -38.078     -38.303     -38.814     -38.764
      3000.00    5.00   -2.00    0.40       -37.646     -38.011     -38.117     -38.756     -38.715
      3000.00    5.00   -2.50    0.40       -37.625     -37.814     -37.814     -38.615     -38.632
      3000.00    5.50    0.00    0.00       -37.674     -38.217     -38.507     -38.916     -38.806
      3000.00    5.50    0.00    0.20       -37.700     -38.129     -38.440     -38.863     -38.807
      3000.00    5.50    0.50    0.00       -37.689     -38.180     -38.486     -38.900     -38.825
      3000.00    5.50   -0.50    0.20       -37.670     -38.145     -38.429     -38.861     -38.773
      3000.00    5.50   -1.00    0.40       -37.669     -38.102     -38.362     -38.827     -38.756
      3000.00    5.50   -1.50    0.40       -37.664     -38.069     -38.223     -38.792     -38.714
      3000.00    5.50   -2.00    0.40       -37.686     -37.985     -38.021     -38.725     -38.681
      3000.00    5.50   -2.50    0.40       -37.643     -37.728     -37.659     -38.544     -38.571
      3000.00    6.00   -0.50    0.20       -37.685     -38.172     -38.422     -38.866     -38.728
      3000.00    6.00   -1.00    0.40       -37.687     -38.113     -38.324     -38.823     -38.725
      3100.00    0.00    0.00    0.00       -37.377     -38.277     -38.643     -38.870     -38.510
      3100.00    0.50    0.00    0.00       -37.515     -38.438     -38.762     -38.971     -38.677
      3100.00    1.00    0.00    0.00       -37.619     -38.524     -38.816     -39.020     -38.754
      3100.00    1.50    0.00    0.00       -37.696     -38.567     -38.827     -39.031     -38.798
      3100.00    2.00    0.00    0.00       -37.744     -38.576     -38.804     -39.014     -38.851
      3100.00    2.00   -1.00    0.40       -37.744     -38.399     -38.627     -38.915     -38.890
      3100.00    2.50    0.00    0.00       -37.785     -38.519     -38.747     -38.994     -38.889
      3100.00    2.50   -1.00    0.40       -37.735     -38.272     -38.557     -38.915     -38.938
      3100.00    3.00    0.00    0.00       -37.734     -38.370     -38.647     -38.978     -38.948
      3100.00    3.00   -0.50    0.20       -37.759     -38.295     -38.584     -38.945     -38.951
      3100.00    3.00   -1.00    0.40       -37.735     -38.200     -38.509     -38.901     -38.939
      3100.00    3.50    0.00    0.00       -37.740     -38.304     -38.599     -38.965     -38.950
      3100.00    3.50   -0.50    0.20       -37.745     -38.230     -38.540     -38.930     -38.957
      3100.00    4.00    0.00    0.00       -37.744     -38.280     -38.583     -38.965     -38.954
      3100.00    4.00   -0.50    0.20       -37.744     -38.217     -38.533     -38.934     -38.967
      3100.00    4.50    0.00    0.00       -37.739     -38.267     -38.571     -38.961     -38.941
      3100.00    4.50    0.50    0.00       -37.791     -38.302     -38.599     -38.979     -38.961
      3100.00    4.50   -0.50    0.20       -37.752     -38.221     -38.529     -38.930     -38.936
      3100.00    4.50   -1.00    0.40       -37.746     -38.189     -38.497     -38.906     -38.922
      3100.00    4.50   -1.50    0.40       -37.710     -38.191     -38.472     -38.906     -38.919
      3100.00    4.50   -2.00    0.40       -37.692     -38.149     -38.355     -38.868     -38.864
      3100.00    4.50   -2.50    0.40       -37.694     -38.039     -38.143     -38.781     -38.799
      3100.00    5.00    0.00    0.00       -37.739     -38.276     -38.574     -38.965     -38.928
      3100.00    5.00    0.00    0.20       -37.799     -38.233     -38.538     -38.936     -38.933
      3100.00    5.00    0.50    0.00       -37.787     -38.287     -38.586     -38.973     -38.947
      3100.00    5.00   -0.50    0.20       -37.750     -38.228     -38.527     -38.929     -38.910
      3100.00    5.00   -1.00    0.40       -37.746     -38.196     -38.487     -38.902     -38.892
      3100.00    5.00   -1.50    0.40       -37.726     -38.192     -38.429     -38.892     -38.860
      3100.00    5.00   -2.00    0.40       -37.721     -38.127     -38.266     -38.838     -38.817
      3100.00    5.00   -2.50    0.40       -37.713     -37.963     -37.997     -38.715     -38.736
      3100.00    5.50    0.00    0.00       -37.745     -38.293     -38.576     -38.967     -38.884
      3100.00    5.50    0.00    0.20       -37.800     -38.242     -38.537     -38.934     -38.901
      3100.00    5.50    0.50    0.00       -37.783     -38.284     -38.577     -38.967     -38.910
      3100.00    5.50   -0.50    0.20       -37.768     -38.257     -38.534     -38.935     -38.877
      3100.00    5.50   -1.00    0.40       -37.765     -38.222     -38.484     -38.909     -38.861
      3100.00    5.50   -1.50    0.40       -37.754     -38.194     -38.371     -38.878     -38.817
      3100.00    5.50   -2.00    0.40       -37.757     -38.094     -38.158     -38.799     -38.769
      3100.00    5.50   -2.50    0.40       -37.739     -37.889     -37.852     -38.648     -38.678
      3100.00    6.00   -0.50    0.20       -37.778     -38.277     -38.529     -38.937     -38.833
      3100.00    6.00   -1.00    0.40       -37.780     -38.230     -38.451     -38.902     -38.826
      3200.00    0.00    0.00    0.00       -37.491     -38.375     -38.727     -38.938     -38.575
      3200.00    0.50    0.00    0.00       -37.620     -38.540     -38.858     -39.049     -38.746
      3200.00   -0.50    0.00    0.00       -37.245     -38.097     -38.473     -38.703     -38.351
      3200.00    1.00    0.00    0.00       -37.709     -38.626     -38.915     -39.099     -38.822
      3200.00    1.50    0.00    0.00       -37.778     -38.675     -38.934     -39.116     -38.873
      3200.00    2.00    0.00    0.00       -37.822     -38.696     -38.924     -39.106     -38.929
      3200.00    2.50    0.00    0.00       -37.864     -38.658     -38.877     -39.084     -38.962
      3200.00    2.50   -1.00    0.40       -37.832     -38.446     -38.695     -38.993     -38.995
      3200.00    3.00    0.00    0.00       -37.853     -38.553     -38.800     -39.067     -38.996
      3200.00    3.00   -0.50    0.20       -37.854     -38.451     -38.715     -39.026     -39.015
      3200.00    3.00   -1.00    0.40       -37.845     -38.366     -38.642     -38.982     -39.001
      3200.00    3.50    0.00    0.00       -37.848     -38.468     -38.746     -39.066     -39.032
      3200.00    3.50   -0.50    0.20       -37.853     -38.384     -38.666     -39.012     -39.024
      3200.00    4.00    0.00    0.00       -37.847     -38.414     -38.696     -39.040     -39.022
      3200.00    4.00   -0.50    0.20       -37.846     -38.346     -38.640     -39.005     -39.032
      3200.00    4.50    0.00    0.00       -37.837     -38.383     -38.671     -39.031     -39.015
      3200.00    4.50    0.50    0.00       -37.896     -38.438     -38.713     -39.053     -39.020
      3200.00    4.50   -0.50    0.20       -37.840     -38.327     -38.620     -38.995     -39.007
      3200.00    4.50   -1.00    0.40       -37.840     -38.298     -38.590     -38.972     -38.995
      3200.00    4.50   -1.50    0.40       -37.807     -38.302     -38.576     -38.975     -38.994
      3200.00    4.50   -2.00    0.40       -37.787     -38.269     -38.484     -38.946     -38.950
      3200.00    4.50   -2.50    0.40       -37.788     -38.182     -38.314     -38.879     -38.902
      3200.00    5.00    0.00    0.00       -37.836     -38.382     -38.667     -39.032     -39.006
      3200.00    5.00    0.00    0.20       -37.894     -38.349     -38.635     -39.004     -39.005
      3200.00    5.00    0.50    0.00       -37.891     -38.409     -38.688     -39.043     -39.015
      3200.00    5.00   -0.50    0.20       -37.845     -38.336     -38.622     -38.997     -38.989
      3200.00    5.00   -1.00    0.40       -37.830     -38.295     -38.579     -38.968     -38.972
      3200.00    5.00   -1.50    0.40       -37.820     -38.305     -38.544     -38.964     -38.948
      3200.00    5.00   -2.00    0.40       -37.813     -38.255     -38.415     -38.925     -38.914
      3200.00    5.00   -2.50    0.40       -37.812     -38.107     -38.153     -38.805     -38.826
      3200.00    5.50    0.00    0.00       -37.843     -38.394     -38.669     -39.033     -38.971
      3200.00    5.50    0.00    0.20       -37.888     -38.345     -38.628     -39.000     -38.983
      3200.00    5.50    0.50    0.00       -37.886     -38.399     -38.676     -39.038     -38.993
      3200.00    5.50   -0.50    0.20       -37.856     -38.355     -38.626     -39.000     -38.962
      3200.00    5.50   -1.00    0.40       -37.851     -38.322     -38.581     -38.974     -38.947
      3200.00    5.50   -1.50    0.40       -37.838     -38.306     -38.501     -38.956     -38.915
